log10_A,A,sigma_pooled,mean_n,per_event_sigma,null_mean,null_std,delta_from_5314
-3.422082,3.783716e-04,0.277287,6.825953,0.26705,0.277287,0.0,1.511953
-3.415404,3.842344e-04,0.277287,6.814861,0.26705,0.277287,0.0,1.500861
-3.408726,3.901882e-04,0.277287,6.80377,0.26705,0.277287,0.0,1.48977
-3.402048,3.962341e-04,0.277287,6.792678,0.26705,0.277287,0.0,1.478678
-3.39537,4.023738e-04,0.277287,6.781587,0.26705,0.277287,0.0,1.467587
-3.388693,4.086086e-04,0.277287,6.770495,0.26705,0.277287,0.0,1.456495
-3.382015,4.149400e-04,0.277287,6.759404,0.26705,0.277287,0.0,1.445404
-3.375337,4.213695e-04,0.277287,6.748312,0.26705,0.277287,0.0,1.434312
-3.368659,4.278986e-04,0.277287,6.73722,0.26705,0.277287,0.0,1.42322
-3.361981,4.345289e-04,0.277287,6.726129,0.26705,0.277287,0.0,1.412129
-3.355304,4.412619e-04,0.277287,6.715037,0.26705,0.277287,0.0,1.401037
-3.348626,4.480993e-04,0.277287,6.703946,0.26705,0.277287,0.0,1.389946
-3.341948,4.550426e-04,0.277287,6.692854,0.26705,0.277287,0.0,1.378854
-3.33527,4.620935e-04,0.277287,6.681763,0.26705,0.277287,0.0,1.367763
-3.328592,4.692536e-04,0.277287,6.670671,0.26705,0.277287,0.0,1.356671
-3.321915,4.765247e-04,0.277287,6.659579,0.26705,0.277287,0.0,1.345579
-3.315237,4.839085e-04,0.277287,6.648488,0.26705,0.277287,0.0,1.334488
-3.308559,4.914066e-04,0.277287,6.637396,0.26705,0.277287,0.0,1.323396
-3.301881,4.990210e-04,0.277287,6.626305,0.26705,0.277287,0.0,1.312305
-3.295203,5.067533e-04,0.277287,6.615213,0.26705,0.277287,0.0,1.301213
-3.288526,5.146055e-04,0.277287,6.604121,0.26705,0.277287,0.0,1.290121
-3.281848,5.225793e-04,0.277287,6.59303,0.26705,0.277287,0.0,1.27903
-3.27517,5.306767e-04,0.277287,6.581938,0.26705,0.277287,0.0,1.267938
-3.268492,5.388995e-04,0.277287,6.570847,0.26705,0.277287,0.0,1.256847
-3.261814,5.472498e-04,0.277287,6.559755,0.26705,0.277287,0.0,1.245755
-3.255137,5.557294e-04,0.277287,6.548664,0.26705,0.277287,0.0,1.234664
-3.248459,5.643405e-04,0.277287,6.537572,0.26705,0.277287,0.0,1.223572
-3.241781,5.730849e-04,0.277287,6.52648,0.26705,0.277287,0.0,1.21248
-3.235103,5.819649e-04,0.277287,6.515389,0.26705,0.277287,0.0,1.201389
-3.228425,5.909825e-04,0.277287,6.504297,0.26705,0.277287,0.0,1.190297
-3.221748,6.001397e-04,0.277287,6.493206,0.26705,0.277287,0.0,1.179206
-3.21507,6.094389e-04,0.277287,6.482114,0.26705,0.277287,0.0,1.168114
-3.208392,6.188822e-04,0.277287,6.471023,0.26705,0.277287,0.0,1.157023
-3.201714,6.284718e-04,0.277287,6.459931,0.26705,0.277287,0.0,1.145931
-3.195036,6.382099e-04,0.277287,6.448839,0.26705,0.277287,0.0,1.134839
-3.188359,6.480990e-04,0.277287,6.437748,0.26705,0.277287,0.0,1.123748
-3.181681,6.581413e-04,0.277287,6.426656,0.26705,0.277287,0.0,1.112656
-3.175003,6.683392e-04,0.277287,6.415565,0.26705,0.277287,0.0,1.101565
-3.168325,6.786952e-04,0.277287,6.404473,0.26705,0.277287,0.0,1.090473
-3.161647,6.892116e-04,0.277287,6.393381,0.26705,0.277287,0.0,1.079381
-3.15497,6.998909e-04,0.277287,6.38229,0.26705,0.277287,0.0,1.06829
-3.148292,7.107357e-04,0.277287,6.371198,0.26705,0.277287,0.0,1.057198
-3.141614,7.217486e-04,0.277287,6.360107,0.26705,0.277287,0.0,1.046107
-3.134936,7.329321e-04,0.277287,6.349015,0.26705,0.277287,0.0,1.035015
-3.128258,7.442889e-04,0.277287,6.337924,0.26705,0.277287,0.0,1.023924
-3.121581,7.558216e-04,0.277287,6.326832,0.26705,0.277287,0.0,1.012832
-3.114903,7.675331e-04,0.277287,6.31574,0.26705,0.277287,0.0,1.00174
-3.108225,7.794261e-04,0.277287,6.304649,0.26705,0.277287,0.0,0.990649
-3.101547,7.915033e-04,0.277287,6.293557,0.26705,0.277287,0.0,0.979557
-3.094869,8.037676e-04,0.277287,6.282466,0.26705,0.277287,0.0,0.968466
-3.088192,8.162220e-04,0.277287,6.271374,0.26705,0.277287,0.0,0.957374
-3.081514,8.288694e-04,0.277287,6.260282,0.26705,0.277287,0.0,0.946282
-3.074836,8.417127e-04,0.277287,6.249191,0.26705,0.277287,0.0,0.935191
-3.068158,8.547551e-04,0.277287,6.238099,0.26705,0.277287,0.0,0.924099
-3.061481,8.679995e-04,0.277287,6.227008,0.26705,0.277287,0.0,0.913008
-3.054803,8.814492e-04,0.277287,6.215916,0.26705,0.277287,0.0,0.901916
-3.048125,8.951073e-04,0.277287,6.204825,0.26705,0.277287,0.0,0.890825
-3.041447,9.089770e-04,0.277287,6.193733,0.26705,0.277287,0.0,0.879733
-3.034769,9.230616e-04,0.277287,6.182641,0.26705,0.277287,0.0,0.868641
-3.028092,9.373644e-04,0.277287,6.17155,0.26705,0.277287,0.0,0.85755
-3.021414,9.518889e-04,0.277287,6.160458,0.26705,0.277287,0.0,0.846458
-3.014736,9.666385e-04,0.277287,6.149367,0.26705,0.277287,0.0,0.835367
-3.008058,9.816165e-04,0.277287,6.138275,0.26705,0.277287,0.0,0.824275
-3.00138,9.968267e-04,0.277287,6.127184,0.26705,0.277287,0.0,0.813184
-2.994703,1.012273e-03,0.277287,6.116092,0.26705,0.277287,0.0,0.802092
-2.988025,1.027958e-03,0.277287,6.105,0.26705,0.277287,0.0,0.791
-2.981347,1.043886e-03,0.277287,6.093909,0.26705,0.277287,0.0,0.779909
-2.974669,1.060061e-03,0.277287,6.082817,0.26705,0.277287,0.0,0.768817
-2.967991,1.076487e-03,0.277287,6.071726,0.26705,0.277287,0.0,0.757726
-2.961314,1.093167e-03,0.277287,6.060634,0.26705,0.277287,0.0,0.746634
-2.954636,1.110105e-03,0.277287,6.049542,0.26705,0.277287,0.0,0.735542
-2.947958,1.127307e-03,0.277287,6.038451,0.26705,0.277287,0.0,0.724451
-2.94128,1.144774e-03,0.277287,6.027359,0.26705,0.277287,0.0,0.713359
-2.934602,1.162512e-03,0.277287,6.016268,0.26705,0.277287,0.0,0.702268
-2.927925,1.180526e-03,0.277287,6.005176,0.26705,0.277287,0.0,0.691176
-2.921247,1.198818e-03,0.277287,5.994085,0.26705,0.277287,0.0,0.680085
-2.914569,1.217394e-03,0.277287,5.982993,0.26705,0.277287,0.0,0.668993
-2.907891,1.236257e-03,0.277287,5.971901,0.26705,0.277287,0.0,0.657901
-2.901213,1.255413e-03,0.277287,5.96081,0.26705,0.277287,0.0,0.64681
-2.894536,1.274866e-03,0.277287,5.949718,0.26705,0.277287,0.0,0.635718
-2.887858,1.294620e-03,0.277287,5.938627,0.26705,0.277287,0.0,0.624627
-2.88118,1.314680e-03,0.277287,5.927535,0.26705,0.277287,0.0,0.613535
-2.874502,1.335051e-03,0.277287,5.916444,0.26705,0.277287,0.0,0.602444
-2.867824,1.355737e-03,0.277287,5.905352,0.26705,0.277287,0.0,0.591352
-2.861147,1.376745e-03,0.277287,5.89426,0.26705,0.277287,0.0,0.58026
-2.854469,1.398077e-03,0.277287,5.883169,0.26705,0.277287,0.0,0.569169
-2.847791,1.419741e-03,0.277287,5.872077,0.26705,0.277287,0.0,0.558077
-2.841113,1.441739e-03,0.277287,5.860986,0.26705,0.277287,0.0,0.546986
-2.834435,1.464079e-03,0.277287,5.849894,0.26705,0.277287,0.0,0.535894
-2.827758,1.486765e-03,0.277287,5.838802,0.26705,0.277287,0.0,0.524802
-2.82108,1.509803e-03,0.277287,5.827711,0.26705,0.277287,0.0,0.513711
-2.814402,1.533197e-03,0.277287,5.816619,0.26705,0.277287,0.0,0.502619
-2.807724,1.556954e-03,0.277287,5.805528,0.26705,0.277287,0.0,0.491528
-2.801046,1.581079e-03,0.277287,5.794436,0.26705,0.277287,0.0,0.480436
-2.794369,1.605578e-03,0.277287,5.783345,0.26705,0.277287,0.0,0.469345
-2.787691,1.630456e-03,0.277287,5.772253,0.26705,0.277287,0.0,0.458253
-2.781013,1.655720e-03,0.277287,5.761161,0.26705,0.277287,0.0,0.447161
-2.774335,1.681376e-03,0.277287,5.75007,0.26705,0.277287,0.0,0.43607
-2.767657,1.707429e-03,0.277287,5.738978,0.26705,0.277287,0.0,0.424978
-2.76098,1.733885e-03,0.277287,5.727887,0.26705,0.277287,0.0,0.413887
-2.754302,1.760752e-03,0.277287,5.716795,0.26705,0.277287,0.0,0.402795
-2.747624,1.788035e-03,0.277287,5.705704,0.26705,0.277287,0.0,0.391704
-2.740946,1.815740e-03,0.277287,5.694612,0.26705,0.277287,0.0,0.380612
-2.734268,1.843875e-03,0.277287,5.68352,0.26705,0.277287,0.0,0.36952
-2.727591,1.872446e-03,0.277287,5.672429,0.26705,0.277287,0.0,0.358429
-2.720913,1.901460e-03,0.277287,5.661337,0.26705,0.277287,0.0,0.347337
-2.714235,1.930923e-03,0.277287,5.650246,0.26705,0.277287,0.0,0.336246
-2.707557,1.960842e-03,0.277287,5.639154,0.26705,0.277287,0.0,0.325154
-2.70088,1.991226e-03,0.277287,5.628062,0.26705,0.277287,0.0,0.314062
-2.694202,2.022080e-03,0.277287,5.616971,0.26705,0.277287,0.0,0.302971
-2.687524,2.053412e-03,0.277287,5.605879,0.26705,0.277287,0.0,0.291879
-2.680846,2.085230e-03,0.277287,5.594788,0.26705,0.277287,0.0,0.280788
-2.674168,2.117540e-03,0.277287,5.583696,0.26705,0.277287,0.0,0.269696
-2.667491,2.150352e-03,0.277287,5.572605,0.26705,0.277287,0.0,0.258605
-2.660813,2.183671e-03,0.277287,5.561513,0.26705,0.277287,0.0,0.247513
-2.654135,2.217507e-03,0.277287,5.550421,0.26705,0.277287,0.0,0.236421
-2.647457,2.251868e-03,0.277287,5.53933,0.26705,0.277287,0.0,0.22533
-2.640779,2.286760e-03,0.277287,5.528238,0.26705,0.277287,0.0,0.214238
-2.634102,2.322194e-03,0.277287,5.517147,0.26705,0.277287,0.0,0.203147
-2.627424,2.358176e-03,0.277287,5.506055,0.26705,0.277287,0.0,0.192055
-2.620746,2.394716e-03,0.277287,5.494964,0.26705,0.277287,0.0,0.180964
-2.614068,2.431822e-03,0.277287,5.483872,0.26705,0.277287,0.0,0.169872
-2.60739,2.469503e-03,0.277287,5.47278,0.26705,0.277287,0.0,0.15878
-2.600713,2.507768e-03,0.277287,5.461689,0.26705,0.277287,0.0,0.147689
-2.594035,2.546626e-03,0.277287,5.450597,0.26705,0.277287,0.0,0.136597
-2.587357,2.586086e-03,0.277287,5.439506,0.26705,0.277287,0.0,0.125506
-2.580679,2.626158e-03,0.277287,5.428414,0.26705,0.277287,0.0,0.114414
-2.574001,2.666850e-03,0.277287,5.417322,0.26705,0.277287,0.0,0.103322
-2.567324,2.708173e-03,0.277287,5.406231,0.26705,0.277287,0.0,0.092231
-2.560646,2.750136e-03,0.277287,5.395139,0.26705,0.277287,0.0,0.081139
-2.553968,2.792750e-03,0.277287,5.384048,0.26705,0.277287,0.0,0.070048
-2.54729,2.836023e-03,0.277287,5.372956,0.26705,0.277287,0.0,0.058956
