event,catalog,waveform,af_source,M_total_Msun,chi_eff_med,a_final_med,redshift,n_seraphim,n_sph_std,n_carrier_schwarz,n_carrier_kerr_binary,n_carrier_kerr_remnant,kerr_remnant_delta,gap_schwarz,gap_kerr_binary,gap_kerr_remnant,delta_schwarz,delta_kerr_binary,delta_kerr_remnant,log2_M,alpha_inv,n_BBH_theory
GW190513_205428,GWTC-2.1,C01:IMRPhenomXPHM,posterior,53.7894,0.1502,0.7122,0.4073,5.282106,0.162296,137.381182,137.209539,136.270945,-1.110237,132.099076,131.927433,130.988839,-4.936923,-5.108566,-6.04716,5.74925,137.035999,5.313987
GW190514_065416,GWTC-2.1,C01:IMRPhenomXPHM,posterior,69.0248,-0.0911,0.654,0.634,5.282611,0.144919,137.740974,137.836286,136.766667,-0.974308,132.458363,132.553674,131.484055,-4.577636,-4.482325,-5.551944,6.109042,137.035999,5.313987
GW190514_065416,GWTC-2.1,C01:IMRPhenomXPHM,posterior,65.5604,-0.0676,0.6644,0.7498,5.299889,0.127574,137.666685,137.738005,136.669288,-0.997397,132.366795,132.438115,131.369398,-4.669204,-4.597884,-5.666601,6.034753,137.035999,5.313987
GW190517_055101,GWTC-2.1,C01:IMRPhenomXPHM,posterior,64.4896,0.4417,0.8679,0.3014,5.522279,0.213,137.642927,137.066098,136.053196,-1.589731,132.120647,131.543819,130.530917,-4.915352,-5.49218,-6.505083,6.010995,137.035999,5.313987
GW190517_055101,GWTC-2.1,C01:IMRPhenomXPHM,posterior,62.6577,0.4732,0.8725,0.3513,5.552532,0.196532,137.601351,136.972635,135.993207,-1.608144,132.048819,131.420102,130.440675,-4.98718,-5.615897,-6.595324,5.969419,137.035999,5.313987
GW190519_153544,GWTC-2.1,C01:IMRPhenomXPHM,posterior,103.1949,0.3153,0.7847,0.4529,5.438564,0.126776,138.32116,137.934439,137.015176,-1.305984,132.882596,132.495875,131.576612,-4.153403,-4.540124,-5.459387,6.689228,137.035999,5.313987
GW190519_153544,GWTC-2.1,C01:IMRPhenomXPHM,posterior,100.1684,0.3366,0.7971,0.5204,5.453231,0.124368,138.278215,137.861149,136.934808,-1.343408,132.824984,132.407918,131.481577,-4.211015,-4.628081,-5.554423,6.646283,137.035999,5.313987
GW190521_030229,GWTC-2.1,C01:IMRPhenomXPHM,posterior,153.1475,-0.1398,0.6163,0.556,5.206544,0.27314,138.89071,139.034661,137.996657,-0.894053,133.684166,133.828116,132.790113,-3.351833,-3.207883,-4.245886,7.258778,137.035999,5.313987
GW190521_030229,GWTC-2.1,C01:IMRPhenomXPHM,posterior,149.1713,0.0015,0.6753,0.7193,5.30597,0.219858,138.852758,138.85117,137.830502,-1.022256,133.546788,133.5452,132.524532,-3.489211,-3.490799,-4.511467,7.220826,137.035999,5.313987
GW190521_074359,GWTC-2.1,C01:IMRPhenomXPHM,posterior,77.3377,0.0739,0.7012,0.1798,5.376191,0.049427,137.905031,137.82301,136.82175,-1.083281,132.52884,132.446819,131.445559,-4.507159,-4.589181,-5.59044,6.273099,137.035999,5.313987
