gamma,mean_n,median_n,chi2,delta_n
0.486036,5.773062,5.843476,0.21073831,0.459062
0.486587,5.773879,5.844293,0.21148875,0.459879
0.487137,5.774695,5.845109,0.21223967,0.460695
0.487688,5.775510,5.845924,0.21299107,0.461510
0.488238,5.776323,5.846737,0.21374295,0.462323
0.488789,5.777136,5.847550,0.21449531,0.463136
0.489339,5.777948,5.848362,0.21524814,0.463948
0.489890,5.778760,5.849174,0.21600143,0.464760
0.490440,5.779570,5.849984,0.21675520,0.465570
0.490991,5.780379,5.850793,0.21750943,0.466379
0.491542,5.781187,5.851601,0.21826412,0.467187
0.492092,5.781995,5.852409,0.21901927,0.467995
0.492643,5.782802,5.853216,0.21977488,0.468802
0.493193,5.783607,5.854021,0.22053095,0.469607
0.493744,5.784412,5.854826,0.22128747,0.470412
0.494294,5.785216,5.855630,0.22204443,0.471216
0.494845,5.786019,5.856433,0.22280185,0.472019
0.495395,5.786821,5.857235,0.22355971,0.472821
0.495946,5.787622,5.858036,0.22431801,0.473622
0.496496,5.788423,5.858837,0.22507676,0.474423
0.497047,5.789222,5.859636,0.22583594,0.475222
0.497598,5.790021,5.860435,0.22659556,0.476021
0.498148,5.790818,5.861232,0.22735561,0.476818
0.498699,5.791615,5.862029,0.22811609,0.477615
0.499249,5.792411,5.862825,0.22887700,0.478411
0.499800,5.793206,5.863620,0.22963834,0.479206
0.500350,5.794000,5.864414,0.23040010,0.480000
0.500901,5.794793,5.865207,0.23116228,0.480793
0.501451,5.795586,5.866000,0.23192488,0.481586
0.502002,5.796377,5.866791,0.23268790,0.482377
0.502553,5.797168,5.867582,0.23345133,0.483168
0.503103,5.797958,5.868372,0.23421518,0.483958
0.503654,5.798747,5.869161,0.23497943,0.484747
0.504204,5.799535,5.869949,0.23574410,0.485535
0.504755,5.800322,5.870736,0.23650917,0.486322
0.505305,5.801108,5.871522,0.23727464,0.487108
0.505856,5.801894,5.872308,0.23804051,0.487894
0.506406,5.802679,5.873093,0.23880679,0.488679
0.506957,5.803462,5.873876,0.23957346,0.489462
0.507508,5.804245,5.874659,0.24034052,0.490245
0.508058,5.805027,5.875441,0.24110798,0.491027
0.508609,5.805809,5.876223,0.24187582,0.491809
0.509159,5.806589,5.877003,0.24264406,0.492589
0.509710,5.807369,5.877783,0.24341268,0.493369
0.510260,5.808147,5.878561,0.24418168,0.494147
0.510811,5.808925,5.879339,0.24495107,0.494925
0.511361,5.809702,5.880116,0.24572083,0.495702
0.511912,5.810479,5.880893,0.24649097,0.496479
0.512462,5.811254,5.881668,0.24726149,0.497254
0.513013,5.812028,5.882443,0.24803238,0.498028
0.513564,5.812802,5.883216,0.24880364,0.498802
0.514114,5.813575,5.883989,0.24957527,0.499575
0.514665,5.814347,5.884761,0.25034727,0.500347
0.515215,5.815118,5.885532,0.25111963,0.501118
0.515766,5.815889,5.886303,0.25189236,0.501889
0.516316,5.816658,5.887072,0.25266545,0.502658
0.516867,5.817427,5.887841,0.25343889,0.503427
0.517417,5.818195,5.888609,0.25421269,0.504195
0.517968,5.818962,5.889376,0.25498685,0.504962
0.518519,5.819729,5.890143,0.25576136,0.505729
0.519069,5.820494,5.890908,0.25653622,0.506494
0.519620,5.821259,5.891673,0.25731143,0.507259
0.520170,5.822023,5.892437,0.25808698,0.508023
0.520721,5.822786,5.893200,0.25886288,0.508786
0.521271,5.823548,5.893962,0.25963912,0.509548
0.521822,5.824309,5.894723,0.26041571,0.510309
0.522372,5.825070,5.895484,0.26119263,0.511070
0.522923,5.825830,5.896244,0.26196989,0.511830
0.523473,5.826589,5.897003,0.26274748,0.512589
0.524024,5.827347,5.897761,0.26352541,0.513347
0.524575,5.828105,5.898519,0.26430367,0.514105
0.525125,5.828861,5.899275,0.26508226,0.514861
0.525676,5.829617,5.900031,0.26586117,0.515617
0.526226,5.830372,5.900786,0.26664041,0.516372
0.526777,5.831127,5.901541,0.26741998,0.517127
0.527327,5.831880,5.902294,0.26819987,0.517880
0.527878,5.832633,5.903047,0.26898007,0.518633
0.528428,5.833385,5.903799,0.26976060,0.519385
0.528979,5.834136,5.904550,0.27054144,0.520136
0.529530,5.834886,5.905300,0.27132259,0.520886
0.530080,5.835636,5.906050,0.27210406,0.521636
0.530631,5.836385,5.906799,0.27288584,0.522385
0.531181,5.837133,5.907547,0.27366793,0.523133
0.531732,5.837880,5.908294,0.27445032,0.523880
0.532282,5.838627,5.909041,0.27523302,0.524627
0.532833,5.839372,5.909786,0.27601603,0.525372
0.533383,5.840117,5.910531,0.27679933,0.526117
0.533934,5.840861,5.911275,0.27758294,0.526861
0.534484,5.841605,5.912019,0.27836684,0.527605
0.535035,5.842347,5.912761,0.27915105,0.528347
0.535586,5.843089,5.913503,0.27993554,0.529089
0.536136,5.843830,5.914244,0.28072033,0.529830
0.536687,5.844571,5.914985,0.28150541,0.530571
0.537237,5.845310,5.915724,0.28229078,0.531310
0.537788,5.846049,5.916463,0.28307644,0.532049
0.538338,5.846787,5.917201,0.28386238,0.532787
0.538889,5.847525,5.917939,0.28464861,0.533525
0.539439,5.848261,5.918675,0.28543512,0.534261
0.539990,5.848997,5.919411,0.28622191,0.534997
0.540541,5.849732,5.920146,0.28700899,0.535732
0.541091,5.850467,5.920881,0.28779634,0.536467
0.541642,5.851200,5.921614,0.28858396,0.537200
0.542192,5.851933,5.922347,0.28937186,0.537933
0.542743,5.852665,5.923079,0.29016004,0.538665
0.543293,5.853396,5.923810,0.29094848,0.539396
0.543844,5.854127,5.924541,0.29173719,0.540127
0.544394,5.854857,5.925271,0.29252618,0.540857
0.544945,5.855586,5.926000,0.29331542,0.541586
0.545495,5.856314,5.926728,0.29410494,0.542314
0.546046,5.857042,5.927456,0.29489471,0.543042
0.546597,5.857769,5.928183,0.29568475,0.543769
0.547147,5.858495,5.928909,0.29647505,0.544495
0.547698,5.859221,5.929635,0.29726560,0.545221
0.548248,5.859945,5.930359,0.29805642,0.545945
0.548799,5.860669,5.931083,0.29884748,0.546669
0.549349,5.861393,5.931807,0.29963880,0.547393
0.549900,5.862115,5.932529,0.30043038,0.548115
0.550450,5.862837,5.933251,0.30122220,0.548837
0.551001,5.863558,5.933972,0.30201427,0.549558
0.551552,5.864279,5.934693,0.30280659,0.550279
0.552102,5.864998,5.935412,0.30359916,0.550998
0.552653,5.865717,5.936131,0.30439197,0.551717
0.553203,5.866436,5.936850,0.30518502,0.552436
0.553754,5.867153,5.937567,0.30597832,0.553153
0.554304,5.867870,5.938284,0.30677185,0.553870
