event,catalog,wf_key,n_samples,erad_field,median_M,median_E,median_n_your_K0,std_n_your_K0,delta_from_pred,in_bbh_band
GW191127_050227,GWTC-3,C01:IMRPhenomXPHM,185048,radiated_energy,81.4854,3.414088,5.309647,0.370628,-0.004353,1
GW191129_134029,GWTC-3,C01:IMRPhenomXPHM,77231,radiated_energy,17.6754,0.771163,5.309756,0.091197,-0.004244,1
GW191129_134029,GWTC-3,C01:IMRPhenomXPHM,135743,radiated_energy,17.6118,0.768114,5.308777,0.091605,-0.005223,1
GW191204_110529,GWTC-3,C01:IMRPhenomXPHM,41745,radiated_energy,46.9785,2.108686,5.339525,0.141712,0.025525,1
GW191204_110529,GWTC-3,C01:IMRPhenomXPHM,155223,radiated_energy,44.6289,2.014859,5.340797,0.144860,0.026797,1
GW191204_171526,GWTC-3,C01:IMRPhenomXPHM,128624,radiated_energy,20.3555,0.991498,5.387167,0.063196,0.073167,1
GW191204_171526,GWTC-3,C01:IMRPhenomXPHM,206292,radiated_energy,20.3128,0.989103,5.386799,0.063494,0.072799,1
GW191215_223052,GWTC-3,C01:IMRPhenomXPHM,6913,radiated_energy,43.2039,1.889384,5.309652,0.078136,-0.004348,1
GW191215_223052,GWTC-3,C01:IMRPhenomXPHM,20000,radiated_energy,42.4701,1.866682,5.313544,0.078632,-0.000456,1
GW191216_213338,GWTC-3,C01:IMRPhenomXPHM,249520,radiated_energy,20.0659,0.902816,5.324641,0.140139,0.010641,1
GW191216_213338,GWTC-3,C01:IMRPhenomXPHM,315108,radiated_energy,20.0462,0.902012,5.324635,0.142139,0.010635,1
GW191219_163120,GWTC-3,C01:IMRPhenomXPHM:HighSpin,14965,radiated_energy,32.7632,0.085907,3.272054,0.046710,-2.041946,0
GW191219_163120,GWTC-3,C01:IMRPhenomXPHM:HighSpin,20000,radiated_energy,32.6999,0.085818,3.272601,0.060261,-2.041399,0
GW191222_033537,GWTC-3,C01:IMRPhenomXPHM,26560,radiated_energy,79.5141,3.554513,5.320842,0.095165,0.006842,1
