targetid,field,ra,dec,z,zerr,spectype,flux_r,flux_g,comoving_mpc
39089837550194927,DESI-COSMOS-v2.0,148.857876,2.508166,0.433859,0.000021,GALAXY,,,1712.45
39089837550194374,DESI-COSMOS-v2.0,148.950056,2.356677,0.206253,0.000009,GALAXY,,,861.89
39089837550203776,DESI-COSMOS-v2.0,148.817179,2.343472,0.685279,0.000021,GALAXY,,,2527.71
39089837550202311,DESI-COSMOS-v2.0,148.703027,2.419628,0.429190,0.000026,GALAXY,,,1694.95
39089837550204990,DESI-COSMOS-v2.0,148.824087,2.201518,0.751418,0.000031,GALAXY,,,2722.64
39089837550198511,DESI-COSMOS-v2.0,148.692407,2.383645,0.151021,0.000023,GALAXY,,,640.37
39089837550205080,DESI-COSMOS-v2.0,148.783699,2.306951,1.260196,0.000046,GALAXY,,,3997.34
39089837550212197,DESI-COSMOS-v2.0,148.785284,2.382892,0.317091,0.000038,GALAXY,,,1289.55
39089837550213740,DESI-COSMOS-v2.0,148.709245,2.136307,1.697323,0.000057,GALAXY,,,4838.77
39089837550212143,DESI-COSMOS-v2.0,148.792321,2.239777,0.362211,0.000015,GALAXY,,,1455.56
39089837550210672,DESI-COSMOS-v2.0,148.981673,2.345270,0.166048,0.000014,GALAXY,,,701.42
39089837550205294,DESI-COSMOS-v2.0,148.974668,2.402369,0.533446,0.000007,GALAXY,,,2048.55
39089837550204774,DESI-COSMOS-v2.0,149.017732,2.413534,0.099367,0.000007,GALAXY,,,425.12
39089837550206773,DESI-COSMOS-v2.0,148.771332,2.492273,1.210195,0.000195,GALAXY,,,3887.90
39089837550210366,DESI-COSMOS-v2.0,148.795953,2.452380,0.418189,0.000012,GALAXY,,,1656.28
39089837550205021,DESI-COSMOS-v2.0,148.874620,2.264124,0.747756,0.000021,GALAXY,,,2713.94
39089837550214793,DESI-COSMOS-v2.0,148.670270,2.501804,0.925535,0.000022,GALAXY,,,3203.97
39089837550208929,DESI-COSMOS-v2.0,148.697537,2.621653,0.235773,0.000019,GALAXY,,,980.04
39089837550199521,DESI-COSMOS-v2.0,148.697513,2.532753,0.601159,0.000054,GALAXY,,,2268.28
39089837550211870,DESI-COSMOS-v2.0,148.774715,2.624477,1.234053,0.000041,GALAXY,,,3940.81
39089837550206973,DESI-COSMOS-v2.0,148.673169,2.457824,1.507753,0.000099,GALAXY,,,4498.32
39089837550201896,DESI-COSMOS-v2.0,148.843534,2.553234,0.768068,0.000057,GALAXY,,,2771.61
39089837550210295,DESI-COSMOS-v2.0,148.813857,2.445358,0.032715,0.000002,GALAXY,,,143.90
39089837550198560,DESI-COSMOS-v2.0,148.919405,2.326867,0.088397,0.000009,GALAXY,,,378.87
39089837550206934,DESI-COSMOS-v2.0,148.881990,2.341973,0.000671,0.000039,STAR,,,4.39
39089837550211393,DESI-COSMOS-v2.0,148.789807,2.481632,0.915815,0.000033,GALAXY,,,3177.78
