event,catalog,gamma_label,gamma_value,median_n,std_n,delta,in_band
GW191215_223052,GWTC-3,Meissner_2004_area,0.237500,5.309652,0.078136,-0.004348,1
GW191215_223052,GWTC-3,Meissner_2004_area,0.237500,5.313544,0.078632,-0.000456,1
GW191216_213338,GWTC-3,Meissner_2004_area,0.237500,5.324641,0.140139,0.010641,1
GW191216_213338,GWTC-3,Meissner_2004_area,0.237500,5.324635,0.142139,0.010635,1
GW191219_163120,GWTC-3,Meissner_2004_area,0.237500,3.272054,0.046710,-2.041946,0
GW191219_163120,GWTC-3,Meissner_2004_area,0.237500,3.272601,0.060261,-2.041399,0
GW191222_033537,GWTC-3,Meissner_2004_area,0.237500,5.320842,0.095165,0.006842,1
GW191222_033537,GWTC-3,Meissner_2004_area,0.237500,5.325632,0.093478,0.011632,1
GW191230_180458,GWTC-3,Meissner_2004_area,0.237500,5.315476,0.125084,0.001476,1
GW191230_180458,GWTC-3,Meissner_2004_area,0.237500,5.325103,0.111439,0.011103,1
GW200105_162426,GWTC-3,Meissner_2004_area,0.237500,4.688224,0.136692,-0.625776,1
GW200105_162426,GWTC-3,Meissner_2004_area,0.237500,4.688224,0.136692,-0.625776,1
GW200112_155838,GWTC-3,Meissner_2004_area,0.237500,5.361168,0.066228,0.047168,1
GW200112_155838,GWTC-3,Meissner_2004_area,0.237500,5.363331,0.065693,0.049331,1
GW200115_042309,GWTC-3,Meissner_2004_area,0.237500,4.741133,0.210859,-0.572867,1
GW200115_042309,GWTC-3,Meissner_2004_area,0.237500,4.741629,0.211007,-0.572371,1
GW200128_022011,GWTC-3,Meissner_2004_area,0.237500,5.382079,0.095136,0.068079,1
GW200128_022011,GWTC-3,Meissner_2004_area,0.237500,5.386034,0.091115,0.072034,1
GW200129_065458,GWTC-3,Meissner_2004_area,0.237500,5.384820,0.107395,0.070820,1
GW200129_065458,GWTC-3,Meissner_2004_area,0.237500,5.384792,0.105607,0.070792,1
GW200202_154313,GWTC-3,Meissner_2004_area,0.237500,5.346263,0.086929,0.032263,1
GW200202_154313,GWTC-3,Meissner_2004_area,0.237500,5.345954,0.087289,0.031954,1
GW200208_130117,GWTC-3,Meissner_2004_area,0.237500,5.293603,0.107727,-0.020397,1
GW200208_130117,GWTC-3,Meissner_2004_area,0.237500,5.305041,0.103588,-0.008959,1
GW200208_222617,GWTC-3,Meissner_2004_area,0.237500,4.892200,0.428204,-0.421800,1
GW200208_222617,GWTC-3,Meissner_2004_area,0.237500,5.045522,0.392439,-0.268478,1
GW200209_085452,GWTC-3,Meissner_2004_area,0.237500,5.294527,0.101643,-0.019473,1
GW200209_085452,GWTC-3,Meissner_2004_area,0.237500,5.303710,0.093251,-0.010290,1
GW200210_092254,GWTC-3,Meissner_2004_area,0.237500,4.223862,0.146266,-1.090138,0
GW200210_092254,GWTC-3,Meissner_2004_area,0.237500,4.227786,0.150171,-1.086214,0
GW200216_220804,GWTC-3,Meissner_2004_area,0.237500,5.299927,0.280145,-0.014073,1
GW200216_220804,GWTC-3,Meissner_2004_area,0.237500,5.348529,0.223060,0.034529,1
GW200219_094415,GWTC-3,Meissner_2004_area,0.237500,5.297149,0.106748,-0.016851,1
GW200219_094415,GWTC-3,Meissner_2004_area,0.237500,5.305816,0.098394,-0.008184,1
GW200220_061928,GWTC-3,Meissner_2004_area,0.237500,5.332765,0.234877,0.018765,1
GW200220_061928,GWTC-3,Meissner_2004_area,0.237500,5.359844,0.166807,0.045844,1
GW200220_124850,GWTC-3,Meissner_2004_area,0.237500,5.302586,0.117663,-0.011414,1
