event,catalog,gamma_label,gamma_value,median_n,std_n,delta,in_band
GW230729_082317,GWTC-4,gamma_data_observed,0.257500,5.392811,0.147591,0.078811,1
GW230731_215307,GWTC-4,gamma_data_observed,0.257500,5.385883,0.047834,0.071883,1
GW230803_033412,GWTC-4,gamma_data_observed,0.257500,5.392398,0.150105,0.078398,1
GW230805_034249,GWTC-4,gamma_data_observed,0.257500,5.391709,0.154833,0.077709,1
GW230806_204041,GWTC-4,gamma_data_observed,0.257500,5.420881,0.134656,0.106881,1
GW230811_032116,GWTC-4,gamma_data_observed,0.257500,5.364009,0.097788,0.050009,1
GW230814_061920,GWTC-4,gamma_data_observed,0.257500,5.374388,0.132483,0.060388,1
GW230814_230901,GWTC-4,gamma_data_observed,0.257500,5.417669,0.018523,0.103669,1
GW230819_171910,GWTC-4,gamma_data_observed,0.257500,5.203512,0.307321,-0.110488,1
GW230820_212515,GWTC-4,gamma_data_observed,0.257500,5.374102,0.301789,0.060102,1
GW230824_033047,GWTC-4,gamma_data_observed,0.257500,5.381572,0.137219,0.067572,1
GW230825_041334,GWTC-4,gamma_data_observed,0.257500,5.527808,0.142996,0.213808,1
GW230831_015414,GWTC-4,gamma_data_observed,0.257500,5.411496,0.127806,0.097496,1
GW230904_051013,GWTC-4,gamma_data_observed,0.257500,5.397910,0.084157,0.083910,1
GW230911_195324,GWTC-4,gamma_data_observed,0.257500,5.315894,0.118628,0.001894,1
GW230914_111401,GWTC-4,gamma_data_observed,0.257500,5.396790,0.138934,0.082790,1
GW230919_215712,GWTC-4,gamma_data_observed,0.257500,5.485138,0.048694,0.171138,1
GW230920_071124,GWTC-4,gamma_data_observed,0.257500,5.398573,0.100858,0.084573,1
GW230922_020344,GWTC-4,gamma_data_observed,0.257500,5.400927,0.078205,0.086927,1
GW230922_040658,GWTC-4,gamma_data_observed,0.257500,5.504235,0.227366,0.190235,1
GW230924_124453,GWTC-4,gamma_data_observed,0.257500,5.421322,0.052697,0.107322,1
GW230927_043729,GWTC-4,gamma_data_observed,0.257500,5.412025,0.071947,0.098025,1
GW230927_153832,GWTC-4,gamma_data_observed,0.257500,5.415350,0.037012,0.101350,1
GW230928_215827,GWTC-4,gamma_data_observed,0.257500,5.559136,0.164218,0.245136,1
GW230930_110730,GWTC-4,gamma_data_observed,0.257500,5.402473,0.114664,0.088473,1
GW231001_140220,GWTC-4,gamma_data_observed,0.257500,5.268365,0.184428,-0.045635,1
GW231004_232346,GWTC-4,gamma_data_observed,0.257500,5.259632,0.189236,-0.054368,1
GW231005_021030,GWTC-4,gamma_data_observed,0.257500,5.376477,0.187800,0.062477,1
GW231005_091549,GWTC-4,gamma_data_observed,0.257500,5.382787,0.107263,0.068787,1
GW231008_142521,GWTC-4,gamma_data_observed,0.257500,5.313078,0.184567,-0.000922,1
GW231014_040532,GWTC-4,gamma_data_observed,0.257500,5.455000,0.136715,0.141000,1
GW231018_233037,GWTC-4,gamma_data_observed,0.257500,5.357944,0.110296,0.043944,1
GW231020_142947,GWTC-4,gamma_data_observed,0.257500,5.403440,0.155377,0.089440,1
GW231028_153006,GWTC-4,gamma_data_observed,0.257500,5.644483,0.129414,0.330483,1
GW231029_111508,GWTC-4,gamma_data_observed,0.257500,5.414886,0.161176,0.100886,1
GW231102_071736,GWTC-4,gamma_data_observed,0.257500,5.422232,0.093358,0.108232,1
GW231104_133418,GWTC-4,gamma_data_observed,0.257500,5.446681,0.071933,0.132681,1
GW231108_125142,GWTC-4,gamma_data_observed,0.257500,5.369244,0.047909,0.055244,1
GW231110_040320,GWTC-4,gamma_data_observed,0.257500,5.428226,0.083976,0.114226,1
GW231113_122623,GWTC-4,gamma_data_observed,0.257500,5.550328,0.161844,0.236328,1
GW231113_200417,GWTC-4,gamma_data_observed,0.257500,5.423806,0.087617,0.109806,1
GW231114_043211,GWTC-4,gamma_data_observed,0.257500,5.128718,0.150130,-0.185282,1
GW231118_005626,GWTC-4,gamma_data_observed,0.257500,5.471247,0.114888,0.157247,1
GW231118_071402,GWTC-4,gamma_data_observed,0.257500,5.439839,0.139939,0.125839,1
GW231118_090602,GWTC-4,gamma_data_observed,0.257500,5.317304,0.266066,0.003304,1
GW231119_075248,GWTC-4,gamma_data_observed,0.257500,5.385353,0.151206,0.071353,1
GW231123_135430,GWTC-4,gamma_data_observed,0.257500,5.353955,0.076309,0.039955,1
GW231127_165300,GWTC-4,gamma_data_observed,0.257500,5.364474,0.189975,0.050474,1
GW231129_081745,GWTC-4,gamma_data_observed,0.257500,5.321173,0.160432,0.007173,1
GW231206_233134,GWTC-4,gamma_data_observed,0.257500,5.376380,0.072231,0.062380,1
GW231206_233901,GWTC-4,gamma_data_observed,0.257500,5.395202,0.064414,0.081202,1
GW231213_111417,GWTC-4,gamma_data_observed,0.257500,5.438773,0.090399,0.124773,1
GW231221_135041,GWTC-4,gamma_data_observed,0.257500,5.357098,0.200763,0.043098,1
GW231223_032836,GWTC-4,gamma_data_observed,0.257500,5.298003,0.168709,-0.015997,1
GW231223_075055,GWTC-4,gamma_data_observed,0.257500,5.349220,0.137728,0.035220,1
GW231223_202619,GWTC-4,gamma_data_observed,0.257500,5.436648,0.068186,0.122648,1
GW231224_024321,GWTC-4,gamma_data_observed,0.257500,5.406683,0.037430,0.092683,1
GW231226_101520,GWTC-4,gamma_data_observed,0.257500,5.397547,0.025818,0.083547,1
GW231230_170116,GWTC-4,gamma_data_observed,0.257500,5.287211,0.183042,-0.026789,1
GW231231_154016,GWTC-4,gamma_data_observed,0.257500,5.389767,0.045915,0.075767,1
GW240104_164932,GWTC-4,gamma_data_observed,0.257500,5.457380,0.080537,0.143380,1
GW240107_013215,GWTC-4,gamma_data_observed,0.257500,5.428450,0.282262,0.114450,1
GW240109_050431,GWTC-4,gamma_data_observed,0.257500,5.316044,0.086003,0.002044,1
GW150914_095045,GWTC-2.1,gamma_data_observed,0.257500,5.398502,0.046137,0.084502,1
GW150914_095045,GWTC-2.1,gamma_data_observed,0.257500,5.398766,0.045957,0.084766,1
GW151012_095443,GWTC-2.1,gamma_data_observed,0.257500,5.342042,0.208789,0.028042,1
GW151012_095443,GWTC-2.1,gamma_data_observed,0.257500,5.353552,0.203841,0.039552,1
GW151226_033853,GWTC-2.1,gamma_data_observed,0.257500,5.392299,0.189791,0.078299,1
GW151226_033853,GWTC-2.1,gamma_data_observed,0.257500,5.390049,0.189910,0.076049,1
GW170104_101158,GWTC-2.1,gamma_data_observed,0.257500,5.367862,0.087598,0.053862,1
GW170104_101158,GWTC-2.1,gamma_data_observed,0.257500,5.368976,0.085239,0.054976,1
GW170608_020116,GWTC-2.1,gamma_data_observed,0.257500,5.409452,0.088127,0.095452,1
GW170608_020116,GWTC-2.1,gamma_data_observed,0.257500,5.409156,0.088712,0.095156,1
GW170729_185629,GWTC-2.1,gamma_data_observed,0.257500,5.451788,0.199620,0.137788,1
GW170729_185629,GWTC-2.1,gamma_data_observed,0.257500,5.498474,0.178804,0.184474,1
GW170809_082821,GWTC-2.1,gamma_data_observed,0.257500,5.419696,0.087983,0.105696,1
GW170809_082821,GWTC-2.1,gamma_data_observed,0.257500,5.421743,0.086552,0.107743,1
GW170814_103043,GWTC-2.1,gamma_data_observed,0.257500,5.436991,0.046399,0.122991,1
GW170814_103043,GWTC-2.1,gamma_data_observed,0.257500,5.437598,0.046136,0.123598,1
GW170818_022509,GWTC-2.1,gamma_data_observed,0.257500,5.392418,0.066714,0.078418,1
GW170818_022509,GWTC-2.1,gamma_data_observed,0.257500,5.395883,0.066023,0.081883,1
GW170823_131358,GWTC-2.1,gamma_data_observed,0.257500,5.422263,0.103500,0.108263,1
GW170823_131358,GWTC-2.1,gamma_data_observed,0.257500,5.428022,0.098420,0.114022,1
GW190403_051519,GWTC-2.1,gamma_data_observed,0.257500,5.272413,0.343804,-0.041587,1
GW190403_051519,GWTC-2.1,gamma_data_observed,0.257500,5.458433,0.292684,0.144433,1
GW190408_181802,GWTC-2.1,gamma_data_observed,0.257500,5.379889,0.074859,0.065889,1
GW190408_181802,GWTC-2.1,gamma_data_observed,0.257500,5.379716,0.072635,0.065716,1
GW190412_053044,GWTC-2.1,gamma_data_observed,0.257500,5.080504,0.078574,-0.233496,1
GW190412_053044,GWTC-2.1,gamma_data_observed,0.257500,5.079017,0.078802,-0.234983,1
GW190413_052954,GWTC-2.1,gamma_data_observed,0.257500,5.371311,0.115031,0.057311,1
GW190413_052954,GWTC-2.1,gamma_data_observed,0.257500,5.387688,0.111198,0.073688,1
GW190413_134308,GWTC-2.1,gamma_data_observed,0.257500,5.332075,0.203854,0.018075,1
GW190413_134308,GWTC-2.1,gamma_data_observed,0.257500,5.369332,0.169699,0.055332,1
GW190421_213856,GWTC-2.1,gamma_data_observed,0.257500,5.363578,0.102963,0.049578,1
GW190421_213856,GWTC-2.1,gamma_data_observed,0.257500,5.368652,0.097660,0.054652,1
GW190426_190642,GWTC-2.1,gamma_data_observed,0.257500,5.476499,0.183825,0.162499,1
GW190426_190642,GWTC-2.1,gamma_data_observed,0.257500,5.507564,0.166979,0.193564,1
GW190503_185404,GWTC-2.1,gamma_data_observed,0.257500,5.347546,0.140284,0.033546,1
GW190503_185404,GWTC-2.1,gamma_data_observed,0.257500,5.356648,0.132150,0.042648,1
GW190512_180714,GWTC-2.1,gamma_data_observed,0.257500,5.293968,0.108878,-0.020032,1
GW190512_180714,GWTC-2.1,gamma_data_observed,0.257500,5.296254,0.109162,-0.017746,1
GW190513_205428,GWTC-2.1,gamma_data_observed,0.257500,5.323371,0.163938,0.009371,1
GW190513_205428,GWTC-2.1,gamma_data_observed,0.257500,5.340399,0.162296,0.026399,1
GW190514_065416,GWTC-2.1,gamma_data_observed,0.257500,5.340904,0.144919,0.026904,1
GW190514_065416,GWTC-2.1,gamma_data_observed,0.257500,5.358182,0.127574,0.044182,1
GW190517_055101,GWTC-2.1,gamma_data_observed,0.257500,5.580572,0.213000,0.266572,1
GW190517_055101,GWTC-2.1,gamma_data_observed,0.257500,5.610825,0.196532,0.296825,1
GW190519_153544,GWTC-2.1,gamma_data_observed,0.257500,5.496857,0.126776,0.182857,1
GW190519_153544,GWTC-2.1,gamma_data_observed,0.257500,5.511524,0.124368,0.197524,1
GW190521_030229,GWTC-2.1,gamma_data_observed,0.257500,5.264837,0.273140,-0.049163,1
GW190521_030229,GWTC-2.1,gamma_data_observed,0.257500,5.364263,0.219858,0.050263,1
GW190521_074359,GWTC-2.1,gamma_data_observed,0.257500,5.434484,0.049427,0.120484,1
GW190521_074359,GWTC-2.1,gamma_data_observed,0.257500,5.433061,0.050558,0.119061,1
GW190527_092055,GWTC-2.1,gamma_data_observed,0.257500,5.370861,0.265090,0.056861,1
GW190527_092055,GWTC-2.1,gamma_data_observed,0.257500,5.401006,0.233143,0.087006,1
GW190602_175927,GWTC-2.1,gamma_data_observed,0.257500,5.399179,0.181177,0.085179,1
GW190602_175927,GWTC-2.1,gamma_data_observed,0.257500,5.425582,0.165953,0.111582,1
GW190620_030421,GWTC-2.1,gamma_data_observed,0.257500,5.463341,0.255465,0.149341,1
GW190620_030421,GWTC-2.1,gamma_data_observed,0.257500,5.497927,0.214965,0.183927,1
GW190630_185205,GWTC-2.1,gamma_data_observed,0.257500,5.426733,0.081258,0.112733,1
GW190630_185205,GWTC-2.1,gamma_data_observed,0.257500,5.423832,0.082540,0.109832,1
GW190701_203306,GWTC-2.1,gamma_data_observed,0.257500,5.354212,0.106625,0.040212,1
GW190701_203306,GWTC-2.1,gamma_data_observed,0.257500,5.360497,0.101025,0.046497,1
GW190706_222641,GWTC-2.1,gamma_data_observed,0.257500,5.425930,0.216754,0.111930,1
GW190706_222641,GWTC-2.1,gamma_data_observed,0.257500,5.467787,0.192508,0.153787,1
GW190707_093326,GWTC-2.1,gamma_data_observed,0.257500,5.369179,0.060051,0.055179,1
GW190707_093326,GWTC-2.1,gamma_data_observed,0.257500,5.368921,0.061790,0.054921,1
GW190708_232457,GWTC-2.1,gamma_data_observed,0.257500,5.400135,0.066382,0.086135,1
GW190708_232457,GWTC-2.1,gamma_data_observed,0.257500,5.399588,0.066952,0.085588,1
GW190719_215514,GWTC-2.1,gamma_data_observed,0.257500,5.422886,0.291803,0.108886,1
GW190719_215514,GWTC-2.1,gamma_data_observed,0.257500,5.456111,0.258313,0.142111,1
GW190720_000836,GWTC-2.1,gamma_data_observed,0.257500,5.387280,0.126499,0.073280,1
GW190720_000836,GWTC-2.1,gamma_data_observed,0.257500,5.386751,0.127103,0.072751,1
GW190725_174728,GWTC-2.1,gamma_data_observed,0.257500,5.282137,0.222924,-0.031863,1
GW190725_174728,GWTC-2.1,gamma_data_observed,0.257500,5.280323,0.223477,-0.033677,1
GW190727_060333,GWTC-2.1,gamma_data_observed,0.257500,5.439534,0.110366,0.125534,1
GW190727_060333,GWTC-2.1,gamma_data_observed,0.257500,5.446140,0.101830,0.132140,1
GW190728_064510,GWTC-2.1,gamma_data_observed,0.257500,5.401333,0.172984,0.087333,1
GW190728_064510,GWTC-2.1,gamma_data_observed,0.257500,5.402406,0.176106,0.088406,1
GW190731_140936,GWTC-2.1,gamma_data_observed,0.257500,5.406361,0.132550,0.092361,1
GW190731_140936,GWTC-2.1,gamma_data_observed,0.257500,5.423531,0.123012,0.109531,1
GW190803_022701,GWTC-2.1,gamma_data_observed,0.257500,5.389464,0.113238,0.075464,1
GW190803_022701,GWTC-2.1,gamma_data_observed,0.257500,5.399076,0.105032,0.085076,1
GW190805_211137,GWTC-2.1,gamma_data_observed,0.257500,5.558173,0.177256,0.244173,1
GW190805_211137,GWTC-2.1,gamma_data_observed,0.257500,5.582107,0.153015,0.268107,1
GW190814_211039,GWTC-2.1,gamma_data_observed,0.257500,4.247129,0.040036,-1.066871,0
GW190814_211039,GWTC-2.1,gamma_data_observed,0.257500,4.247020,0.040047,-1.066980,0
GW190828_063405,GWTC-2.1,gamma_data_observed,0.257500,5.481698,0.060526,0.167698,1
GW190828_063405,GWTC-2.1,gamma_data_observed,0.257500,5.483709,0.060339,0.169709,1
GW190828_065509,GWTC-2.1,gamma_data_observed,0.257500,5.235106,0.127938,-0.078894,1
GW190828_065509,GWTC-2.1,gamma_data_observed,0.257500,5.236635,0.127833,-0.077365,1
GW190910_112807,GWTC-2.1,gamma_data_observed,0.257500,5.404994,0.068759,0.090994,1
GW190910_112807,GWTC-2.1,gamma_data_observed,0.257500,5.408351,0.068156,0.094351,1
GW190915_235702,GWTC-2.1,gamma_data_observed,0.257500,5.386748,0.084057,0.072748,1
GW190915_235702,GWTC-2.1,gamma_data_observed,0.257500,5.390766,0.081487,0.076766,1
GW190916_200658,GWTC-2.1,gamma_data_observed,0.257500,5.403576,0.262675,0.089576,1
GW190916_200658,GWTC-2.1,gamma_data_observed,0.257500,5.461027,0.222557,0.147027,1
GW190917_114630,GWTC-2.1,gamma_data_observed,0.257500,4.720215,0.215110,-0.593785,1
GW190917_114630,GWTC-2.1,gamma_data_observed,0.257500,4.718505,0.212879,-0.595495,1
GW190924_021846,GWTC-2.1,gamma_data_observed,0.257500,5.301037,0.166698,-0.012963,1
GW190924_021846,GWTC-2.1,gamma_data_observed,0.257500,5.300794,0.168668,-0.013206,1
GW190925_232845,GWTC-2.1,gamma_data_observed,0.257500,5.422369,0.091030,0.108369,1
GW190925_232845,GWTC-2.1,gamma_data_observed,0.257500,5.422929,0.091483,0.108929,1
GW190926_050336,GWTC-2.1,gamma_data_observed,0.257500,5.262298,0.223486,-0.051702,1
GW190926_050336,GWTC-2.1,gamma_data_observed,0.257500,5.319734,0.197737,0.005734,1
GW190929_012149,GWTC-2.1,gamma_data_observed,0.257500,5.154124,0.238233,-0.159876,1
GW190929_012149,GWTC-2.1,gamma_data_observed,0.257500,5.202579,0.218704,-0.111421,1
GW190930_133541,GWTC-2.1,gamma_data_observed,0.257500,5.406615,0.171579,0.092615,1
GW190930_133541,GWTC-2.1,gamma_data_observed,0.257500,5.406272,0.174768,0.092272,1
GW191103_012549,GWTC-3,gamma_data_observed,0.257500,5.455233,0.126876,0.141233,1
GW191103_012549,GWTC-3,gamma_data_observed,0.257500,5.452795,0.130190,0.138795,1
GW191105_143521,GWTC-3,gamma_data_observed,0.257500,5.372899,0.088906,0.058899,1
GW191105_143521,GWTC-3,gamma_data_observed,0.257500,5.372061,0.089879,0.058061,1
GW191109_010717,GWTC-3,gamma_data_observed,0.257500,5.274879,0.135030,-0.039121,1
GW191109_010717,GWTC-3,gamma_data_observed,0.257500,5.282984,0.130030,-0.031016,1
GW191113_071753,GWTC-3,gamma_data_observed,0.257500,4.664842,0.294563,-0.649158,1
GW191113_071753,GWTC-3,gamma_data_observed,0.257500,4.700544,0.321573,-0.613456,1
GW191126_115259,GWTC-3,gamma_data_observed,0.257500,5.461875,0.101746,0.147875,1
GW191126_115259,GWTC-3,gamma_data_observed,0.257500,5.461191,0.104767,0.147191,1
GW191127_050227,GWTC-3,gamma_data_observed,0.257500,5.195344,0.466585,-0.118656,1
GW191127_050227,GWTC-3,gamma_data_observed,0.257500,5.367969,0.370628,0.053969,1
GW191129_134029,GWTC-3,gamma_data_observed,0.257500,5.368079,0.091197,0.054079,1
GW191129_134029,GWTC-3,gamma_data_observed,0.257500,5.367099,0.091605,0.053099,1
GW191204_110529,GWTC-3,gamma_data_observed,0.257500,5.397847,0.141712,0.083847,1
GW191204_110529,GWTC-3,gamma_data_observed,0.257500,5.399119,0.144860,0.085119,1
GW191204_171526,GWTC-3,gamma_data_observed,0.257500,5.445489,0.063196,0.131489,1
GW191204_171526,GWTC-3,gamma_data_observed,0.257500,5.445121,0.063494,0.131121,1
GW191215_223052,GWTC-3,gamma_data_observed,0.257500,5.367975,0.078136,0.053975,1
GW191215_223052,GWTC-3,gamma_data_observed,0.257500,5.371866,0.078632,0.057866,1
GW191216_213338,GWTC-3,gamma_data_observed,0.257500,5.382963,0.140139,0.068963,1
GW191216_213338,GWTC-3,gamma_data_observed,0.257500,5.382957,0.142139,0.068957,1
GW191219_163120,GWTC-3,gamma_data_observed,0.257500,3.330376,0.046710,-1.983624,0
GW191219_163120,GWTC-3,gamma_data_observed,0.257500,3.330923,0.060261,-1.983077,0
GW191222_033537,GWTC-3,gamma_data_observed,0.257500,5.379165,0.095165,0.065165,1
GW191222_033537,GWTC-3,gamma_data_observed,0.257500,5.383955,0.093478,0.069955,1
GW191230_180458,GWTC-3,gamma_data_observed,0.257500,5.373799,0.125084,0.059799,1
GW191230_180458,GWTC-3,gamma_data_observed,0.257500,5.383426,0.111439,0.069426,1
GW200105_162426,GWTC-3,gamma_data_observed,0.257500,4.746547,0.136692,-0.567453,1
GW200105_162426,GWTC-3,gamma_data_observed,0.257500,4.746547,0.136692,-0.567453,1
GW200112_155838,GWTC-3,gamma_data_observed,0.257500,5.419490,0.066228,0.105490,1
GW200112_155838,GWTC-3,gamma_data_observed,0.257500,5.421654,0.065693,0.107654,1
GW200115_042309,GWTC-3,gamma_data_observed,0.257500,4.799456,0.210859,-0.514544,1
GW200115_042309,GWTC-3,gamma_data_observed,0.257500,4.799952,0.211007,-0.514048,1
GW200128_022011,GWTC-3,gamma_data_observed,0.257500,5.440401,0.095136,0.126401,1
GW200128_022011,GWTC-3,gamma_data_observed,0.257500,5.444357,0.091115,0.130357,1
GW200129_065458,GWTC-3,gamma_data_observed,0.257500,5.443143,0.107395,0.129143,1
GW200129_065458,GWTC-3,gamma_data_observed,0.257500,5.443114,0.105607,0.129114,1
GW200202_154313,GWTC-3,gamma_data_observed,0.257500,5.404585,0.086929,0.090585,1
GW200202_154313,GWTC-3,gamma_data_observed,0.257500,5.404277,0.087289,0.090277,1
GW200208_130117,GWTC-3,gamma_data_observed,0.257500,5.351925,0.107727,0.037925,1
GW200208_130117,GWTC-3,gamma_data_observed,0.257500,5.363363,0.103588,0.049363,1
GW200208_222617,GWTC-3,gamma_data_observed,0.257500,4.950523,0.428204,-0.363477,1
GW200208_222617,GWTC-3,gamma_data_observed,0.257500,5.103844,0.392439,-0.210156,1
GW200209_085452,GWTC-3,gamma_data_observed,0.257500,5.352849,0.101643,0.038849,1
GW200209_085452,GWTC-3,gamma_data_observed,0.257500,5.362033,0.093251,0.048033,1
GW200210_092254,GWTC-3,gamma_data_observed,0.257500,4.282184,0.146266,-1.031816,0
GW200210_092254,GWTC-3,gamma_data_observed,0.257500,4.286109,0.150171,-1.027891,0
GW200216_220804,GWTC-3,gamma_data_observed,0.257500,5.358249,0.280145,0.044249,1
GW200216_220804,GWTC-3,gamma_data_observed,0.257500,5.406852,0.223060,0.092852,1
GW200219_094415,GWTC-3,gamma_data_observed,0.257500,5.355471,0.106748,0.041471,1
GW200219_094415,GWTC-3,gamma_data_observed,0.257500,5.364138,0.098394,0.050138,1
GW200220_061928,GWTC-3,gamma_data_observed,0.257500,5.391088,0.234877,0.077088,1
GW200220_061928,GWTC-3,gamma_data_observed,0.257500,5.418166,0.166807,0.104166,1
GW200220_124850,GWTC-3,gamma_data_observed,0.257500,5.360908,0.117663,0.046908,1
GW200220_124850,GWTC-3,gamma_data_observed,0.257500,5.374102,0.106037,0.060102,1
GW200224_222234,GWTC-3,gamma_data_observed,0.257500,5.456328,0.076352,0.142328,1
GW200224_222234,GWTC-3,gamma_data_observed,0.257500,5.457867,0.073096,0.143867,1
GW200225_060421,GWTC-3,gamma_data_observed,0.257500,5.338710,0.094845,0.024710,1
GW200225_060421,GWTC-3,gamma_data_observed,0.257500,5.344055,0.092831,0.030055,1
GW200302_015811,GWTC-3,gamma_data_observed,0.257500,5.260187,0.163701,-0.053813,1
GW200302_015811,GWTC-3,gamma_data_observed,0.257500,5.283371,0.161466,-0.030629,1
GW200306_093714,GWTC-3,gamma_data_observed,0.257500,5.434712,0.286720,0.120712,1
GW200306_093714,GWTC-3,gamma_data_observed,0.257500,5.479254,0.264371,0.165254,1
GW200308_173609,GWTC-3,gamma_data_observed,0.257500,5.243772,0.533146,-0.070228,1
GW200308_173609,GWTC-3,gamma_data_observed,0.257500,5.229118,0.531856,-0.084882,1
GW200311_115853,GWTC-3,gamma_data_observed,0.257500,5.396440,0.076073,0.082440,1
GW200311_115853,GWTC-3,gamma_data_observed,0.257500,5.397306,0.074487,0.083306,1
GW200316_215756,GWTC-3,gamma_data_observed,0.257500,5.349888,0.175532,0.035888,1
GW200316_215756,GWTC-3,gamma_data_observed,0.257500,5.351725,0.176450,0.037725,1
GW200322_091133,GWTC-3,gamma_data_observed,0.257500,5.084485,0.784262,-0.229515,1
GW200322_091133,GWTC-3,gamma_data_observed,0.257500,4.690364,0.882896,-0.623636,1
