targetid,field,ra,dec,z,zerr,spectype,flux_r,flux_g,comoving_mpc
39627706819675329,DESI-XMMLSS-v2.0,35.833677,-3.176128,0.849466,0.000020,GALAXY,,,2998.30
39627700779881794,DESI-XMMLSS-v2.0,35.459779,-3.492640,0.569572,0.000066,GALAXY,,,2169.21
39627700779878628,DESI-XMMLSS-v2.0,35.369598,-3.450338,1.063329,0.000118,GALAXY,,,3547.79
39627700779877199,DESI-XMMLSS-v2.0,35.326122,-3.487249,1.558912,0.001284,QSO,,,4593.45
39627700779881028,DESI-XMMLSS-v2.0,35.438138,-3.572144,1.286102,0.000060,QSO,,,4053.07
39627700779881968,DESI-XMMLSS-v2.0,35.464640,-3.522712,0.776214,0.000036,GALAXY,,,2794.49
39627706815482598,DESI-XMMLSS-v2.0,35.625595,-3.210203,0.793262,0.000147,GALAXY,,,2842.75
39627706815481785,DESI-XMMLSS-v2.0,35.602327,-3.241895,0.350052,0.000075,GALAXY,,,1411.70
39627706815483788,DESI-XMMLSS-v2.0,35.659861,-3.175857,1.062760,0.000039,GALAXY,,,3547.79
39627694752668012,DESI-XMMLSS-v2.0,35.732501,-3.791537,1.241216,0.000119,GALAXY,,,3956.11
39627694752669349,DESI-XMMLSS-v2.0,35.770077,-3.697908,1.303753,0.000038,GALAXY,,,4091.19
39627694756857457,DESI-XMMLSS-v2.0,35.849338,-3.675217,1.055043,0.000082,GALAXY,,,3528.45
39627694752670141,DESI-XMMLSS-v2.0,35.792282,-3.669321,1.161448,0.000083,GALAXY,,,3777.66
39627694752668547,DESI-XMMLSS-v2.0,35.747687,-3.636586,0.642879,0.000133,GALAXY,,,2399.62
39627706815483434,DESI-XMMLSS-v2.0,35.648855,-3.245297,0.997076,0.000030,GALAXY,,,3385.56
39627694752670134,DESI-XMMLSS-v2.0,35.792153,-3.735256,1.227593,0.000156,GALAXY,,,3927.65
39627694752665546,DESI-XMMLSS-v2.0,35.660282,-3.717324,1.471043,0.000498,QSO,,,4427.71
39627694752667537,DESI-XMMLSS-v2.0,35.718340,-3.759646,0.528653,0.000089,GALAXY,,,2035.34
39627694752668444,DESI-XMMLSS-v2.0,35.744899,-3.719236,1.063044,0.000039,GALAXY,,,3547.79
39627694752668557,DESI-XMMLSS-v2.0,35.748154,-3.751725,1.063539,0.000064,GALAXY,,,3550.20
39627694752666203,DESI-XMMLSS-v2.0,35.678652,-3.658536,1.033795,0.000222,GALAXY,,,3477.27
39627706819676948,DESI-XMMLSS-v2.0,35.879777,-3.374482,0.427911,0.000082,GALAXY,,,1691.45
39627700788270436,DESI-XMMLSS-v2.0,35.947872,-3.393572,0.852346,0.000213,GALAXY,,,3006.49
39627700788273225,DESI-XMMLSS-v2.0,36.020248,-3.384735,0.993575,0.000129,GALAXY,,,3378.04
39627706819680575,DESI-XMMLSS-v2.0,35.970277,-3.326953,0.867592,0.000139,GALAXY,,,3049.92
39627700788270442,DESI-XMMLSS-v2.0,35.948041,-3.502955,1.203170,0.000087,GALAXY,,,3872.34
39627706819678288,DESI-XMMLSS-v2.0,35.913387,-3.249883,0.595957,0.000064,GALAXY,,,2252.42
39627700788272975,DESI-XMMLSS-v2.0,36.014534,-3.536765,1.084451,0.000061,GALAXY,,,3598.13
39627700788271508,DESI-XMMLSS-v2.0,35.977136,-3.526537,1.010866,0.000063,GALAXY,,,3420.49
39627700788270263,DESI-XMMLSS-v2.0,35.943042,-3.568660,0.862506,0.000081,GALAXY,,,3036.40
39627700788267534,DESI-XMMLSS-v2.0,35.868665,-3.605753,1.087090,0.000065,GALAXY,,,3605.28
39627700788272637,DESI-XMMLSS-v2.0,36.005314,-3.436271,0.793417,0.000136,GALAXY,,,2842.75
39627700788269633,DESI-XMMLSS-v2.0,35.925199,-3.497470,0.845464,0.000127,GALAXY,,,2987.36
39627706819677456,DESI-XMMLSS-v2.0,35.892804,-3.315401,0.823292,0.000148,GALAXY,,,2926.72
39627700788266942,DESI-XMMLSS-v2.0,35.853109,-3.453170,0.836872,0.000090,GALAXY,,,2965.40
39627706811290869,DESI-XMMLSS-v2.0,35.469164,-3.328191,0.924699,0.000163,GALAXY,,,3201.36
39627700779880887,DESI-XMMLSS-v2.0,35.434047,-3.383960,1.621841,0.002223,QSO,,,4707.57
39627706815488268,DESI-XMMLSS-v2.0,35.792021,-3.211579,0.853253,0.000125,GALAXY,,,3009.22
39627694756863309,DESI-XMMLSS-v2.0,35.998964,-3.710443,1.105178,0.000116,GALAXY,,,3647.87
39627712846896545,DESI-XMMLSS-v2.0,35.703408,-3.120810,0.824128,0.000100,GALAXY,,,2929.50
39627694756862635,DESI-XMMLSS-v2.0,35.982097,-3.661844,1.333024,0.000039,GALAXY,,,4151.81
39627694756858868,DESI-XMMLSS-v2.0,35.887490,-3.747244,0.944089,0.000074,GALAXY,,,3250.72
39627706815485924,DESI-XMMLSS-v2.0,35.725165,-3.144710,1.398230,0.000073,GALAXY,,,4284.30
39627706815484291,DESI-XMMLSS-v2.0,35.675053,-3.197524,0.799244,0.000100,GALAXY,,,2859.66
39627700788266832,DESI-XMMLSS-v2.0,35.850499,-3.621983,1.085757,0.000031,GALAXY,,,3602.90
39627712851083998,DESI-XMMLSS-v2.0,35.770365,-3.080906,1.485475,0.000025,GALAXY,,,4454.59
39627700779884216,DESI-XMMLSS-v2.0,35.523562,-3.494597,1.421333,0.000061,GALAXY,,,4330.08
39627694752663646,DESI-XMMLSS-v2.0,35.607048,-3.688380,0.956349,0.000025,GALAXY,,,3281.62
39627706815483226,DESI-XMMLSS-v2.0,35.643086,-3.271433,1.621153,0.001309,QSO,,,4705.79
39627700784073532,DESI-XMMLSS-v2.0,35.621185,-3.554785,1.490128,0.000087,GALAXY,,,4464.14
39627700779882629,DESI-XMMLSS-v2.0,35.481914,-3.378706,0.686830,0.000088,GALAXY,,,2533.74
39627694752663967,DESI-XMMLSS-v2.0,35.616247,-3.633257,0.428728,0.000060,GALAXY,,,1694.95
39627706811292143,DESI-XMMLSS-v2.0,35.507823,-3.298085,0.000601,0.000055,STAR,,,4.39
39627706815480123,DESI-XMMLSS-v2.0,35.555659,-3.261699,1.319586,0.000097,GALAXY,,,4124.75
39627700784072022,DESI-XMMLSS-v2.0,35.584428,-3.522003,0.987838,0.000041,GALAXY,,,3362.96
39627706815480688,DESI-XMMLSS-v2.0,35.570148,-3.284574,0.790736,0.000230,GALAXY,,,2837.09
