event_file,catalog,waveform_key,erad_strategy,M_total_med,log2_M,chi_eff_med,af_med,m_irr_final_med,e_th_med,e_th_frac_med,n_std,n_std_std,gap_std,n_irr,n_irr_std,gap_irr,n_above,n_above_std,gap_above,has_variant_c,in_band_std,n_samples
IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,81.2511,6.344316,-0.00849,0.679812,72.6576,0.0,0.0,5.273783,0.203854,132.702466,5.355657,0.221151,132.620591,5.28467,0.335611,132.691578,1,1,23815
IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,78.6772,6.297874,0.021073,0.693488,69.8526,0.0,0.0,5.311039,0.169699,132.618767,5.397239,0.186299,132.532567,5.316156,0.291188,132.61365,1,1,155335
IGWN-GWTC2p1-v2-GW190421_213856_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,73.6101,6.201832,-0.095948,0.660395,65.9389,0.0,0.0,5.305285,0.102963,132.528479,5.385832,0.115755,132.447932,5.305904,0.224632,132.527859,1,1,30882
IGWN-GWTC2p1-v2-GW190421_213856_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,71.669,6.163278,-0.083948,0.664389,64.112,0.0,0.0,5.310359,0.09766,132.484851,5.39165,0.110351,132.40356,5.310339,0.224036,132.484871,1,1,147856
IGWN-GWTC2p1-v2-GW190426_190642_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,182.3339,7.510439,0.226078,0.771879,155.5532,0.0,0.0,5.418206,0.183825,133.724165,5.528002,0.207485,133.614369,5.418842,0.238062,133.72353,1,1,16736
IGWN-GWTC2p1-v2-GW190426_190642_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,172.1122,7.427206,0.297541,0.797845,145.4497,0.0,0.0,5.449271,0.166979,133.609867,5.568535,0.19175,133.490603,5.449144,0.217232,133.609994,1,1,155608
IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,69.4292,6.11747,-0.05748,0.659214,62.2504,0.0,0.0,5.289253,0.140284,132.460149,5.368541,0.155995,132.380861,5.291998,0.266655,132.457404,1,1,63867
IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,69.1812,6.112309,-0.042511,0.66461,61.8817,0.0,0.0,5.298355,0.13215,132.445886,5.37893,0.147464,132.365311,5.300058,0.251722,132.444183,1,1,166116
IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,36.0873,5.17342,0.027948,0.651006,32.4796,0.0,0.0,5.235675,0.108878,131.569677,5.31141,0.118055,131.493942,5.233462,0.156813,131.57189,1,1,74777
IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,35.7398,5.159459,0.029441,0.652651,32.1497,0.0,0.0,5.237961,0.109162,131.553429,5.314251,0.11844,131.47714,5.235485,0.154708,131.555906,1,1,181271
IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,54.2525,5.761619,0.134551,0.703545,48.1639,0.0,0.0,5.265078,0.163938,132.128473,5.352768,0.182971,132.040783,5.262491,0.194034,132.13106,1,1,48052
