event_file,catalog,waveform_key,median_n,std_n,in_bbh_band,median_q,mean_q,std_q,q_bin,median_chi_eff,e_chi2,beta_posterior,n_samples
6513631/IGWN-GWTC2p1-v2-GW190731_140936_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.36527,0.12301,1,0.72917,0.71625,0.17399,0.6-0.8,0.07869,0.028646,0.94271,126255
6513631/IGWN-GWTC2p1-v2-GW190803_022701_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.34082,0.10503,1,0.7581,0.74291,0.16224,0.6-0.8,0.00276,0.022124,0.95575,101656
6513631/IGWN-GWTC2p1-v2-GW190805_211137_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.52385,0.15301,1,0.69155,0.68332,0.18619,0.6-0.8,0.42437,0.200611,0.59878,169040
6513631/IGWN-GWTC2p1-v2-GW190814_211039_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,4.18876,0.04005,0,0.11118,0.1116,0.00934,0.0-0.2,0.0038,0.00269,0.99462,89500
6513631/IGWN-GWTC2p1-v2-GW190828_063405_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.42545,0.06034,1,0.8197,0.80534,0.127,0.8-1.0,0.16038,0.033864,0.93227,128000
6513631/IGWN-GWTC2p1-v2-GW190828_065509_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.17838,0.12783,1,0.44192,0.47872,0.16339,0.4-0.6,0.05534,0.013618,0.97276,181548
6513631/IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.35009,0.06816,1,0.78684,0.77998,0.13209,0.6-0.8,-0.00538,0.012072,0.97586,159609
6513631/IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.33251,0.08149,1,0.7714,0.75969,0.14864,0.6-0.8,-0.0297,0.016589,0.96682,144305
6513631/IGWN-GWTC2p1-v2-GW190916_200658_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.40277,0.22256,1,0.59361,0.60143,0.21572,0.4-0.6,0.27255,0.109443,0.78111,107199
6513631/IGWN-GWTC2p1-v2-GW190917_114630_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,4.66025,0.21288,0,0.21014,0.25444,0.12912,0.2-0.4,-0.07453,0.053231,0.89354,20000
6513631/IGWN-GWTC2p1-v2-GW190924_021846_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.24254,0.16867,1,0.50895,0.52403,0.19847,0.4-0.6,0.04632,0.019593,0.96081,46372
6513631/IGWN-GWTC2p1-v2-GW190925_232845_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.36467,0.09148,1,0.74145,0.72399,0.17743,0.6-0.8,0.08292,0.01882,0.96236,164960
6513631/IGWN-GWTC2p1-v2-GW190926_050336_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.26148,0.19774,1,0.57984,0.59203,0.21128,0.4-0.6,-0.00762,0.032551,0.9349,157760
6513631/IGWN-GWTC2p1-v2-GW190929_012149_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.14432,0.2187,1,0.43781,0.46502,0.17493,0.4-0.6,-0.02032,0.024737,0.95053,153782
6513631/IGWN-GWTC2p1-v2-GW190930_133541_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.34801,0.17477,1,0.62485,0.60863,0.23197,0.6-0.8,0.14869,0.048,0.904,137344
8177023/IGWN-GWTC3p0-v2-GW191103_012549_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.39454,0.13019,1,0.64542,0.63549,0.21468,0.6-0.8,0.21747,0.061875,0.87625,167837
8177023/IGWN-GWTC3p0-v2-GW191105_143521_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.3138,0.08988,1,0.69057,0.68303,0.18572,0.6-0.8,-0.01765,0.006971,0.98606,142741
8177023/IGWN-GWTC3p0-v2-GW191109_010717_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.22473,0.13003,1,0.73801,0.73825,0.14196,0.6-0.8,-0.29381,0.136135,0.72773,270070
8177023/IGWN-GWTC3p0-v2-GW191113_071753_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,4.64229,0.32157,0,0.19933,0.27361,0.18368,0.0-0.2,0.01005,0.032271,0.93546,129899
8177023/IGWN-GWTC3p0-v2-GW191126_115259_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.40293,0.10477,1,0.6767,0.66808,0.19554,0.6-0.8,0.21218,0.054525,0.89095,158918
8177023/IGWN-GWTC3p0-v2-GW191127_050227_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.30971,0.37063,1,0.46992,0.49704,0.25391,0.4-0.6,0.25876,0.104756,0.79049,185048
8177023/IGWN-GWTC3p0-v2-GW191129_134029_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.30884,0.0916,1,0.5962,0.61266,0.18571,0.4-0.6,0.06575,0.013057,0.97389,135743
8177023/IGWN-GWTC3p0-v2-GW191204_110529_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.34086,0.14486,1,0.72016,0.7006,0.19212,0.6-0.8,0.04441,0.02794,0.94412,155223
8177023/IGWN-GWTC3p0-v2-GW191204_171526_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.38686,0.06349,1,0.65795,0.66562,0.15914,0.6-0.8,0.15941,0.029363,0.94127,206292
8177023/IGWN-GWTC3p0-v2-GW191215_223052_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.31361,0.07863,1,0.73979,0.73202,0.15965,0.6-0.8,-0.0423,0.015937,0.96813,20000
8177023/IGWN-GWTC3p0-v2-GW191216_213338_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.3247,0.14214,1,0.5808,0.59603,0.19714,0.4-0.6,0.11733,0.028509,0.94298,315108
8177023/IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM:HighSpin,3.27267,0.06026,0,0.03697,0.03753,0.01117,0.0-0.2,0.005,0.002319,0.99536,20000
8177023/IGWN-GWTC3p0-v2-GW191222_033537_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.3257,0.09348,1,0.77525,0.75579,0.15878,0.6-0.8,-0.03986,0.020083,0.95983,135537
8177023/IGWN-GWTC3p0-v2-GW191230_180458_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.32517,0.11144,1,0.7748,0.75269,0.16616,0.6-0.8,-0.03895,0.031227,0.93755,139585
8177023/IGWN-GWTC3p0-v2-GW200105_162426_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,4.68829,0.13669,0,0.21063,0.22439,0.08433,0.2-0.4,0.00069,0.016364,0.96727,20000
8177023/IGWN-GWTC3p0-v2-GW200112_155838_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.3634,0.06569,1,0.75936,0.75497,0.14322,0.6-0.8,0.04814,0.010248,0.9795,157304
8177023/IGWN-GWTC3p0-v2-GW200115_042309_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM:HighSpin,4.74169,0.21101,0,0.25013,0.29895,0.15791,0.2-0.4,-0.16874,0.074494,0.85101,20000
8177023/IGWN-GWTC3p0-v2-GW200128_022011_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.3861,0.09111,1,0.78723,0.76857,0.15109,0.6-0.8,0.0915,0.026578,0.94684,150506
8177023/IGWN-GWTC3p0-v2-GW200129_065458_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.38486,0.10561,1,0.71665,0.70049,0.1834,0.6-0.8,0.10956,0.019607,0.96079,148072
8177023/IGWN-GWTC3p0-v2-GW200202_154313_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.34602,0.08729,1,0.71178,0.69921,0.18553,0.6-0.8,0.03626,0.008126,0.98375,170115
8177023/IGWN-GWTC3p0-v2-GW200208_130117_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.30511,0.10359,1,0.73449,0.72571,0.16289,0.6-0.8,-0.06466,0.028217,0.94357,104414
8177023/IGWN-GWTC3p0-v2-GW200208_222617_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.04559,0.39244,1,0.15946,0.24948,0.21994,0.0-0.2,0.66692,0.409085,0.18183,209178
8177023/IGWN-GWTC3p0-v2-GW200209_085452_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.30377,0.09325,1,0.78983,0.77137,0.15041,0.6-0.8,-0.10655,0.04166,0.91668,161419
8177023/IGWN-GWTC3p0-v2-GW200210_092254_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,4.22785,0.15017,0,0.11488,0.11639,0.03707,0.0-0.2,0.03108,0.024277,0.95145,141688
8177023/IGWN-GWTC3p0-v2-GW200216_220804_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.34859,0.22306,1,0.65408,0.6363,0.22191,0.6-0.8,0.12547,0.055521,0.88896,145692
8177023/IGWN-GWTC3p0-v2-GW200219_094415_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.30588,0.09839,1,0.76732,0.75035,0.15951,0.6-0.8,-0.0841,0.031461,0.93708,154656
8177023/IGWN-GWTC3p0-v2-GW200220_061928_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.35991,0.16681,1,0.73644,0.71139,0.19067,0.6-0.8,0.08048,0.060295,0.87941,123819
8177023/IGWN-GWTC3p0-v2-GW200220_124850_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.31584,0.10604,1,0.76008,0.74553,0.1603,0.6-0.8,-0.05354,0.034344,0.93131,96667
8177023/IGWN-GWTC3p0-v2-GW200224_222234_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.39961,0.0731,1,0.8039,0.78868,0.13806,0.8-1.0,0.10325,0.018346,0.96331,216261
8177023/IGWN-GWTC3p0-v2-GW200225_060421_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.2858,0.09283,1,0.73332,0.72829,0.15919,0.6-0.8,-0.12709,0.039429,0.92114,195767
8177023/IGWN-GWTC3p0-v2-GW200302_015811_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.22511,0.16147,1,0.507,0.54239,0.17098,0.4-0.6,0.0131,0.023058,0.95388,104245
8177023/IGWN-GWTC3p0-v2-GW200306_093714_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.421,0.26437,1,0.55894,0.57007,0.21691,0.4-0.6,0.35688,0.144436,0.71113,116436
8177023/IGWN-GWTC3p0-v2-GW200308_173609_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.17086,0.53186,1,0.39257,0.43139,0.26823,0.2-0.4,0.0576,0.102287,0.79543,132606
8177023/IGWN-GWTC3p0-v2-GW200311_115853_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.33905,0.07449,1,0.7965,0.77831,0.14543,0.6-0.8,-0.03254,0.013087,0.97383,202628
8177023/IGWN-GWTC3p0-v2-GW200316_215756_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.29347,0.17645,1,0.52251,0.53266,0.22272,0.4-0.6,0.14885,0.048189,0.90362,134403
8177023/IGWN-GWTC3p0-v2-GW200322_091133_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,4.63211,0.8829,0,0.18575,0.30921,0.29074,0.0-0.2,0.03725,0.102115,0.79577,137340
