event_file,median_n,std_n,median_q,median_chi_eff,valid_samples
IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_mixed_nocosmo.h5,5.344148418657697,0.17610591027695557,0.6046180050348979,0.13950662175148948,20000
IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_mixed_cosmo.h5,5.343075544089016,0.17298353705622344,0.6015574360167992,0.14024417392560862,11485
IGWN-GWTC2p1-v2-GW190527_092055_PEDataRelease_mixed_nocosmo.h5,5.34274804490246,0.2331431865770302,0.6201014421960829,0.12064247711629,141653
IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_nocosmo.h5,5.282140996679425,0.16229552347215534,0.48519462807471014,0.15022116580471828,180002
IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_mixed_nocosmo.h5,5.35009314972339,0.06815587607970754,0.7868365216183619,-0.00537916406822961,159609
IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_cosmo.h5,5.0222458928654286,0.07857434932219204,0.28212265479168075,0.246978437620636,182052
IGWN-GWTC2p1-v2-GW190917_114630_PEDataRelease_mixed_cosmo.h5,4.661956702541705,0.21511023228105064,0.2106143351196025,-0.07597232123745312,12312
IGWN-GWTC2p1-v2-GW190828_063405_PEDataRelease_mixed_cosmo.h5,5.423439724336082,0.06052577981926513,0.823439697008132,0.153998734614198,42966
IGWN-GWTC2p1-v2-GW190731_140936_PEDataRelease_mixed_cosmo.h5,5.348102948244423,0.13255037460738614,0.7077120486419352,0.052496588276076075,21267
IGWN-GWTC2p1-v2-GW151226_033853_PEDataRelease_mixed_nocosmo.h5,5.331791039699102,0.18991015153404633,0.5235283308799126,0.20308557242935718,188541
IGWN-GWTC2p1-v2-GW190503_185404_PEDataRelease_mixed_cosmo.h5,5.28928808192076,0.14028440914644866,0.6704259529750021,-0.057479978554220296,63867
IGWN-GWTC2p1-v2-GW190620_030421_PEDataRelease_mixed_nocosmo.h5,5.4396693413611,0.2149649532594126,0.5781005447761797,0.3326744022143112,152410
IGWN-GWTC2p1-v2-GW190924_021846_PEDataRelease_mixed_nocosmo.h5,5.242535605157702,0.16866821982946004,0.5089502561896009,0.04632321162006651,46372
IGWN-GWTC2p1-v2-GW170104_101158_PEDataRelease_mixed_cosmo.h5,5.30960397395971,0.08759788927478919,0.7084961879833191,-0.0421480625311441,80854
IGWN-GWTC2p1-v2-GW190720_000836_PEDataRelease_mixed_cosmo.h5,5.329021678874844,0.12649922415878717,0.5544138379268188,0.1740048835928489,86699
IGWN-GWTC2p1-v2-GW190408_181802_PEDataRelease_mixed_nocosmo.h5,5.321457738930858,0.07263508018818987,0.7349684286281956,-0.029117776698062297,127008
IGWN-GWTC2p1-v2-GW190803_022701_PEDataRelease_mixed_cosmo.h5,5.331205936030761,0.11323773481847445,0.7502050766513275,-0.014653330256684126,20574
IGWN-GWTC2p1-v2-GW190421_213856_PEDataRelease_mixed_cosmo.h5,5.305319975761458,0.102962668568371,0.7826591539836005,-0.0959479561910515,30882
IGWN-GWTC2p1-v2-GW170729_185629_PEDataRelease_mixed_nocosmo.h5,5.440215669963777,0.17880428992098782,0.5844678006873795,0.30641638393829757,173308
IGWN-GWTC2p1-v2-GW190630_185205_PEDataRelease_mixed_nocosmo.h5,5.3655736459438685,0.08253973552206224,0.7069827677778554,0.09411877480637772,171387
IGWN-GWTC2p1-v2-GW190926_050336_PEDataRelease_mixed_nocosmo.h5,5.261476479911746,0.19773695278495965,0.5798445761166894,-0.00761861551143982,157760
IGWN-GWTC2p1-v2-GW190725_174728_PEDataRelease_mixed_nocosmo.h5,5.222064753435044,0.22347726526104264,0.5292429706408732,-0.03560646129310645,170198
IGWN-GWTC2p1-v2-GW170818_022509_PEDataRelease_mixed_cosmo.h5,5.334160435525882,0.06671414711752112,0.7967740009614598,-0.0423398820706402,84033
IGWN-GWTC2p1-v2-GW190517_055101_PEDataRelease_mixed_cosmo.h5,5.5223139994137425,0.21300049836011134,0.5656492018955344,0.4416865767894388,61249
IGWN-GWTC2p1-v2-GW190803_022701_PEDataRelease_mixed_nocosmo.h5,5.340817561416173,0.10503205152416868,0.7580984525921531,0.002764184986660035,101656
IGWN-GWTC2p1-v2-GW190413_134308_PEDataRelease_mixed_cosmo.h5,5.273817390615686,0.20385390806803322,0.5987412430104055,-0.008490164501413568,23815
IGWN-GWTC2p1-v2-GW190828_065509_PEDataRelease_mixed_cosmo.h5,5.176848379215093,0.12793750658265435,0.44135916112430057,0.05385835594510518,71723
IGWN-GWTC2p1-v2-GW190403_051519_PEDataRelease_mixed_nocosmo.h5,5.400175324073925,0.2926838887678177,0.276314308359282,0.6959275257088784,178895
IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_nocosmo.h5,5.350897828857896,0.08871164114838247,0.7122143948134662,0.043600313030335056,285112
IGWN-GWTC2p1-v2-GW170823_131358_PEDataRelease_mixed_cosmo.h5,5.364004590638489,0.10350049764463294,0.7642574998325327,0.05306471055381784,42612
IGWN-GWTC2p1-v2-GW190412_053044_PEDataRelease_mixed_nocosmo.h5,5.0207592723508725,0.07880227592468046,0.2812275917413292,0.24788810929137786,264789
IGWN-GWTC2p1-v2-GW151226_033853_PEDataRelease_mixed_cosmo.h5,5.334041402713469,0.18979142172609798,0.5276051724507272,0.20154184018399338,133885
IGWN-GWTC2p1-v2-GW190602_175927_PEDataRelease_mixed_cosmo.h5,5.340920562532023,0.18117653096238123,0.6320443858775933,0.1159433591653016,34581
IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_mixed_cosmo.h5,5.328490171953886,0.08405735853304697,0.7685545115721067,-0.038765228368362395,50133
IGWN-GWTC2p1-v2-GW190426_190642_PEDataRelease_mixed_cosmo.h5,5.4182411248683735,0.1838251309492684,0.7615652593916686,0.2260780450748938,16736
IGWN-GWTC2p1-v2-GW190512_180714_PEDataRelease_mixed_nocosmo.h5,5.237996279584856,0.10916165918063345,0.5142955335266176,0.02944101384601039,181271
IGWN-GWTC2p1-v2-GW190731_140936_PEDataRelease_mixed_nocosmo.h5,5.365272720483923,0.12301198162165652,0.7291655146735078,0.07869315996087611,126255
IGWN-GWTC2p1-v2-GW190413_052954_PEDataRelease_mixed_cosmo.h5,5.313053223671658,0.115031423138261,0.7296079299387638,-0.03530221606396065,27757
IGWN-GWTC2p1-v2-GW190805_211137_PEDataRelease_mixed_nocosmo.h5,5.523849320027009,0.15301483848539424,0.6915499011798332,0.42436967624996136,169040
