event_file,catalog,waveform_key,median_n,in_bbh_band,n_samples,e_chi2_eff,med_chi_eff,e_chi2_final,med_chi_final,e_chi_orb2_direct,e_chi_orb2_healy,chi_orb_healy,e_a1_sq,e_a2_sq,e_kerr_ratio_eff,e_kerr_ratio_final,med_eta,med_q,med_chirp_mass,med_chip,gb_event_pop_beta
6513631/IGWN-GWTC2p1-v2-GW190630_185205_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.36557,1,171387,0.016694,0.09412,0.490106,0.70167,0.473412,0.454377,0.67408,0.121396,0.250214,1.99157,1.71295,0.24263,0.70698,24.868,0.29888,0.93539
6513631/IGWN-GWTC2p1-v2-GW190701_203306_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.30224,1,160160,0.03498,-0.08496,0.433832,0.66178,0.398851,0.46353,0.68083,0.290709,0.304827,1.98187,1.75039,0.24544,0.762,39.779,0.45865,0.97196
6513631/IGWN-GWTC2p1-v2-GW190706_222641_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.40953,1,159868,0.123149,0.322,0.639656,0.81215,0.516507,0.407478,0.63834,0.554026,0.368429,1.93482,1.59324,0.22782,0.54102,43.489,0.57738,1.1483
6513631/IGWN-GWTC2p1-v2-GW190707_093326_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.31066,1,367463,0.006969,-0.06341,0.434625,0.65882,0.427656,0.45748,0.67637,0.126205,0.256294,1.99648,1.75167,0.24359,0.7239,8.45,0.32539,0.91594
6513631/IGWN-GWTC2p1-v2-GW190708_232457_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.34133,1,94772,0.00467,0.01964,0.470729,0.68511,0.466059,0.458179,0.67689,0.163382,0.224476,1.99765,1.72706,0.2438,0.72793,12.988,0.33256,0.91134
6513631/IGWN-GWTC2p1-v2-GW190719_215514_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.39785,1,153538,0.135769,0.30411,0.615018,0.78804,0.479249,0.415232,0.64438,0.452652,0.354333,1.92602,1.60972,0.23032,0.56183,22.296,0.45696,1.17354
6513631/IGWN-GWTC2p1-v2-GW190720_000836_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.32849,1,131644,0.042276,0.17495,0.522157,0.71897,0.479881,0.412013,0.64188,0.21893,0.312568,1.97843,1.69026,0.22929,0.553,8.95,0.35239,0.98655
6513631/IGWN-GWTC2p1-v2-GW190725_174728_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.22206,1,170198,0.02879,-0.03561,0.423695,0.64622,0.394905,0.402816,0.63468,0.222706,0.322639,1.98488,1.75761,0.22631,0.52924,7.383,0.36546,0.95958
6513631/IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.38788,1,162922,0.031165,0.09895,0.538094,0.73325,0.506929,0.466994,0.68337,0.362999,0.315135,1.98405,1.67667,0.24649,0.78823,28.975,0.54264,0.96433
6513631/IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.34415,1,20000,0.043949,0.13951,0.51755,0.71522,0.473601,0.429346,0.65525,0.200991,0.281467,1.97696,1.69373,0.23482,0.60462,8.593,0.32929,0.9899
