event_file,event_type,waveform_key,median_n,std_n,median_redshift,median_lum_dist_Mpc,median_chi_eff,n_samples,in_bbh_band
IGWN-GWTC2p1-v2-GW190706_222641_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.36767,0.21675,0.5847,3518.144,0.28452,23977,1
IGWN-GWTC2p1-v2-GW190706_222641_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.40953,0.19251,0.70549,4420.407,0.322,159868,1
IGWN-GWTC2p1-v2-GW190707_093326_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.31092,0.06005,0.16266,802.945,-0.06406,203490,1
IGWN-GWTC2p1-v2-GW190707_093326_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.31066,0.06179,0.16981,841.859,-0.06341,367463,1
IGWN-GWTC2p1-v2-GW190708_232457_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.34188,0.06638,0.186,931.071,0.01851,51021,1
IGWN-GWTC2p1-v2-GW190708_232457_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.34133,0.06695,0.1917,962.864,0.01964,94772,1
IGWN-GWTC2p1-v2-GW190719_215514_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.36463,0.2918,0.61297,3725.173,0.25003,20708,1
IGWN-GWTC2p1-v2-GW190719_215514_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.39785,0.25831,0.75175,4777.492,0.30411,153538,1
IGWN-GWTC2p1-v2-GW190720_000836_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.32902,0.1265,0.15426,757.54,0.174,86699,1
IGWN-GWTC2p1-v2-GW190720_000836_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.32849,0.1271,0.15741,774.528,0.17495,131644,1
IGWN-GWTC2p1-v2-GW190725_174728_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.22388,0.22292,0.20284,1025.45,-0.03894,79206,1
IGWN-GWTC2p1-v2-GW190725_174728_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.22206,0.22348,0.21392,1088.347,-0.03561,170198,1
IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.38128,0.11037,0.51461,3016.383,0.08388,38894,1
IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.38788,0.10183,0.54551,3235.45,0.09895,162922,1
IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.34308,0.17298,0.17611,876.399,0.14024,11485,1
IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,5.34415,0.17611,0.18159,906.63,0.13951,20000,1
IGWN-GWTC2p1-v2-GW190731_140936_PEDataRelease_mixed_cosmo.h5,BBH,C01:IMRPhenomXPHM,5.3481,0.13255,0.55654,3314.515,0.0525,21267,1
