event_file,event_type,waveform_key,n_samples,median_n,mean_n,std_n,in_bbh_band,median_chi_eff,E_chi_eff_sq,beta_fixed,GB_value,delta_from_unity
8177023/IGWN-GWTC3p0-v2-GW191127_050227_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,185048,5.30971,5.19458,0.37063,1,0.25876,0.104756,0.814,1.023512,0.023512
8177023/IGWN-GWTC3p0-v2-GW191129_134029_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,135743,5.30884,5.28328,0.0916,1,0.06575,0.013057,0.814,0.840113,-0.159887
8177023/IGWN-GWTC3p0-v2-GW191204_110529_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,155223,5.34086,5.3131,0.14486,1,0.04441,0.02794,0.814,0.86988,-0.13012
8177023/IGWN-GWTC3p0-v2-GW191204_171526_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,206292,5.38686,5.36741,0.06349,1,0.15941,0.029363,0.814,0.872727,-0.127273
8177023/IGWN-GWTC3p0-v2-GW191215_223052_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,20000,5.31361,5.3004,0.07863,1,-0.0423,0.015937,0.814,0.845875,-0.154125
8177023/IGWN-GWTC3p0-v2-GW191216_213338_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,315108,5.3247,5.28725,0.14214,1,0.11733,0.028509,0.814,0.871017,-0.128983
8177023/IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM:HighSpin,20000,3.27267,3.27828,0.06026,0,0.005,0.002319,0.814,0.818639,-0.181361
8177023/IGWN-GWTC3p0-v2-GW191222_033537_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,135537,5.3257,5.30791,0.09348,1,-0.03986,0.020083,0.814,0.854165,-0.145835
8177023/IGWN-GWTC3p0-v2-GW191230_180458_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,139585,5.32517,5.30791,0.11144,1,-0.03895,0.031227,0.814,0.876454,-0.123546
8177023/IGWN-GWTC3p0-v2-GW200105_162426_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,20000,4.68829,4.68995,0.13669,0,0.00069,0.016364,0.814,0.846727,-0.153273
8177023/IGWN-GWTC3p0-v2-GW200112_155838_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,157304,5.3634,5.35271,0.06569,1,0.04814,0.010248,0.814,0.834495,-0.165505
8177023/IGWN-GWTC3p0-v2-GW200115_042309_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM:HighSpin,20000,4.74169,4.74827,0.21101,0,-0.16874,0.074494,0.814,0.962987,-0.037013
8177023/IGWN-GWTC3p0-v2-GW200128_022011_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,150506,5.3861,5.37575,0.09111,1,0.0915,0.026578,0.814,0.867156,-0.132844
8177023/IGWN-GWTC3p0-v2-GW200129_065458_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,148072,5.38486,5.34851,0.10561,1,0.10956,0.019607,0.814,0.853213,-0.146787
8177023/IGWN-GWTC3p0-v2-GW200202_154313_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,170115,5.34602,5.31613,0.08729,1,0.03626,0.008126,0.814,0.830251,-0.169749
8177023/IGWN-GWTC3p0-v2-GW200208_130117_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,104414,5.30511,5.28622,0.10359,1,-0.06466,0.028217,0.814,0.870434,-0.129566
8177023/IGWN-GWTC3p0-v2-GW200208_222617_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,209178,5.04559,4.99548,0.39244,1,0.66692,0.409085,0.814,1.63217,0.63217
8177023/IGWN-GWTC3p0-v2-GW200209_085452_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,161419,5.30377,5.29109,0.09325,1,-0.10655,0.04166,0.814,0.89732,-0.10268
8177023/IGWN-GWTC3p0-v2-GW200210_092254_PEDataRelease_mixed_nocosmo.h5,BBH,C01:IMRPhenomXPHM,141688,4.22785,4.21303,0.15017,0,0.03108,0.024277,0.814,0.862554,-0.137446
