event,catalog,waveform,erad_strategy,median_n,std_n,n_samples,in_bbh_band,M_total_Msun,M_chirp_Msun,mass_ratio,chi_eff,redshift,lum_dist_Mpc,median_snr,snr_src,snr_available,median_theta_jn_rad,median_cos_theta_jn,incl_src
GW190630_185205,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.36844,0.081258,87638,1,59.3298,25.1591,0.722,0.0918,0.1683,833.5451,16.3695,network_matched_filter_snr,1,1.4119,0.1582,theta_jn
GW190630_185205,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.365539,0.08254,171387,1,58.8757,24.8678,0.707,0.0941,0.1818,908.0265,16.3518,network_matched_filter_snr,1,1.3163,0.2517,theta_jn
GW190701_203306,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.29592,0.106625,54580,1,93.6781,39.9011,0.7543,-0.097,0.38,2104.2064,11.2295,network_matched_filter_snr,1,0.596,0.8276,theta_jn
GW190701_203306,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.302204,0.101025,160160,1,93.2884,39.7789,0.762,-0.085,0.3972,2217.0081,11.2265,network_matched_filter_snr,1,0.5477,0.8537,theta_jn
GW190706_222641,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.367637,0.216754,23977,1,112.6867,45.1876,0.5151,0.2845,0.5847,3518.1436,13.4434,network_matched_filter_snr,1,1.8992,-0.3225,theta_jn
GW190706_222641,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.409494,0.192508,159868,1,107.3694,43.4892,0.541,0.322,0.7055,4420.4068,13.4202,network_matched_filter_snr,1,1.9881,-0.4053,theta_jn
GW190707_093326,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.310886,0.060051,203490,1,20.0104,8.5017,0.7253,-0.0641,0.1627,802.9451,13.1164,network_matched_filter_snr,1,2.23,-0.6125,theta_jn
GW190707_093326,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.310628,0.06179,367463,1,19.8959,8.4505,0.7239,-0.0634,0.1698,841.8587,13.1106,network_matched_filter_snr,1,2.2548,-0.6319,theta_jn
GW190708_232457,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.341842,0.066382,51021,1,30.7827,13.0484,0.731,0.0185,0.186,931.0715,13.3937,network_matched_filter_snr,1,1.0655,0.4841,theta_jn
GW190708_232457,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.341296,0.066952,94772,1,30.6395,12.9879,0.7279,0.0196,0.1917,962.8644,13.3925,network_matched_filter_snr,1,1.0386,0.5074,theta_jn
GW190719_215514,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.364594,0.291803,20708,1,57.1791,22.8107,0.5558,0.25,0.613,3725.1728,7.9107,network_matched_filter_snr,1,1.6124,-0.0416,theta_jn
GW190719_215514,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.397818,0.258313,153538,1,55.3494,22.2958,0.5618,0.3041,0.7518,4777.4918,7.8661,network_matched_filter_snr,1,1.6226,-0.0518,theta_jn
GW190720_000836,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.328987,0.126499,86699,1,21.7909,8.9751,0.5544,0.174,0.1543,757.5404,10.9414,network_matched_filter_snr,1,2.6525,-0.8827,theta_jn
GW190720_000836,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.328458,0.127103,131644,1,21.6999,8.9502,0.553,0.175,0.1574,774.5284,10.93,network_matched_filter_snr,1,2.6671,-0.8895,theta_jn
GW190725_174728,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.223844,0.222924,79206,1,18.3061,7.4493,0.5332,-0.0389,0.2028,1025.4497,9.1451,network_matched_filter_snr,1,0.9978,0.5421,theta_jn
GW190725_174728,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.22203,0.223477,170198,1,18.1626,7.3832,0.5292,-0.0356,0.2139,1088.3469,9.1191,network_matched_filter_snr,1,0.9565,0.5764,theta_jn
GW190727_060333,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.381241,0.110366,38894,1,68.625,29.308,0.7858,0.0839,0.5146,3016.3828,11.6906,network_matched_filter_snr,1,2.1498,-0.5472,theta_jn
GW190727_060333,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.387847,0.10183,162922,1,67.8058,28.9747,0.7882,0.0989,0.5455,3235.4501,11.6864,network_matched_filter_snr,1,2.1994,-0.588,theta_jn
GW190728_064510,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.343041,0.172984,11485,1,20.9488,8.6357,0.6016,0.1402,0.1761,876.3991,13.1216,network_matched_filter_snr,1,1.0843,0.4675,theta_jn
GW190728_064510,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.344114,0.176106,20000,1,20.8066,8.5931,0.6046,0.1395,0.1816,906.63,13.1148,network_matched_filter_snr,1,1.0041,0.5369,theta_jn
GW190731_140936,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.348068,0.13255,21267,1,69.3111,29.1614,0.7077,0.0525,0.5565,3314.5152,8.778,network_matched_filter_snr,1,1.2769,0.2896,theta_jn
GW190731_140936,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.365238,0.123012,126255,1,66.3946,28.049,0.7292,0.0787,0.6609,4082.338,8.761,network_matched_filter_snr,1,1.0889,0.4635,theta_jn
GW190803_022701,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.331171,0.113238,20574,1,65.0001,27.5868,0.7502,-0.0147,0.5386,3186.4054,9.273,network_matched_filter_snr,1,0.908,0.6153,theta_jn
GW190803_022701,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.340783,0.105032,101656,1,63.5518,27.0197,0.7581,0.0028,0.5922,3572.7986,9.2656,network_matched_filter_snr,1,0.8205,0.6819,theta_jn
GW190805_211137,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.49988,0.177256,11786,1,75.4035,31.345,0.6835,0.3868,0.933,6229.5858,8.0629,network_matched_filter_snr,1,0.9545,0.578,theta_jn
GW190805_211137,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.523814,0.153015,169040,1,71.0053,29.6674,0.6915,0.4244,1.0997,7630.1362,8.0633,network_matched_filter_snr,1,0.8082,0.6908,theta_jn
GW190814_211039,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,4.188836,0.040036,78254,0,25.9061,6.1078,0.1112,0.0037,0.0508,232.6956,25.2511,network_matched_filter_snr,1,0.8968,0.6242,theta_jn
GW190814_211039,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,4.188728,0.040047,89500,0,25.9032,6.107,0.1112,0.0038,0.0509,233.3581,25.2508,network_matched_filter_snr,1,0.8933,0.6268,theta_jn
GW190828_063405,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.423405,0.060526,42966,1,57.2082,24.5995,0.8234,0.154,0.3754,2074.3274,16.483,network_matched_filter_snr,1,2.3774,-0.722,theta_jn
GW190828_063405,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.425416,0.060339,128000,1,56.6258,24.3439,0.8197,0.1604,0.3932,2190.7979,16.4798,network_matched_filter_snr,1,2.4677,-0.7814,theta_jn
GW190828_065509,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.176814,0.127938,71723,1,34.2533,13.3918,0.4414,0.0539,0.2908,1542.4245,10.228,network_matched_filter_snr,1,1.8577,-0.2829,theta_jn
GW190828_065509,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.178342,0.127833,181548,1,33.8208,13.2329,0.4419,0.0553,0.3078,1646.2219,10.2104,network_matched_filter_snr,1,1.9982,-0.4145,theta_jn
GW190910_112807,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.346701,0.068759,54830,1,76.692,32.8815,0.7821,-0.0112,0.3076,1645.1975,14.4503,network_matched_filter_snr,1,1.664,-0.093,theta_jn
GW190910_112807,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.350058,0.068156,159609,1,75.133,32.2054,0.7868,-0.0054,0.3448,1877.9223,14.4278,network_matched_filter_snr,1,1.7237,-0.1523,theta_jn
GW190915_235702,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.328455,0.084057,50133,1,56.6538,24.1699,0.7686,-0.0388,0.3297,1782.9483,13.0948,network_matched_filter_snr,1,1.3013,0.2662,theta_jn
GW190915_235702,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.332474,0.081487,144305,1,56.1627,23.967,0.7714,-0.0297,0.346,1885.5073,13.0868,network_matched_filter_snr,1,1.6137,-0.0429,theta_jn
GW190916_200658,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.345283,0.262675,13058,1,68.0116,26.9507,0.5569,0.1923,0.7664,4891.9623,8.0585,network_matched_filter_snr,1,1.5873,-0.0165,theta_jn
GW190916_200658,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.402735,0.222557,107199,1,65.7998,26.5896,0.5936,0.2725,0.9388,6277.9391,8.0377,network_matched_filter_snr,1,1.6066,-0.0358,theta_jn
GW190917_114630,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,4.661922,0.21511,12312,0,11.7631,3.6721,0.2106,-0.076,0.1468,717.7028,8.2817,network_matched_filter_snr,1,1.3463,0.2227,theta_jn
GW190917_114630,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,4.660212,0.212879,20000,0,11.7119,3.658,0.2101,-0.0745,0.1514,741.9952,8.2785,network_matched_filter_snr,1,1.2176,0.3459,theta_jn
GW190924_021846,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.242744,0.166698,32797,1,14.2941,5.7873,0.5094,0.0457,0.1132,541.5676,12.0449,network_matched_filter_snr,1,0.7201,0.7517,theta_jn
GW190924_021846,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.242501,0.168668,46372,1,14.2604,5.7725,0.509,0.0463,0.116,556.0756,12.0403,network_matched_filter_snr,1,0.6926,0.7696,theta_jn
GW190925_232845,GWTC-2.1,C01:IMRPhenomXPHM,M_total - final_mass_source,5.364077,0.09103,87963,1,36.8282,15.6591,0.7413,0.0811,0.1819,908.2815,9.7029,network_matched_filter_snr,1,0.6768,0.7796,theta_jn
