event_file,catalog,event_type,waveform_key,n_samples,median_n,mean_n,std_n,p5_n,p95_n,ci90_width,cv_pct,dev_from_pred,in_bbh_band,sub_floor,median_chi_eff,median_q
6513631/IGWN-GWTC2p1-v2-GW190706_222641_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,23977,5.36767,5.32596,0.21675,4.90735,5.59755,0.69021,4.0698,0.05367,1,0,0.28452,0.51509
6513631/IGWN-GWTC2p1-v2-GW190706_222641_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,159868,5.40953,5.37388,0.19251,5.01343,5.61844,0.60501,3.5823,0.09553,1,0,0.322,0.54102
6513631/IGWN-GWTC2p1-v2-GW190707_093326_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,203490,5.31092,5.29596,0.06005,5.19805,5.35129,0.15324,1.1339,0.00308,1,0,-0.06406,0.72532
6513631/IGWN-GWTC2p1-v2-GW190707_093326_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,367463,5.31066,5.2953,0.06179,5.19572,5.35143,0.15572,1.1669,0.00334,1,0,-0.06341,0.7239
6513631/IGWN-GWTC2p1-v2-GW190708_232457_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,51021,5.34188,5.32081,0.06638,5.18284,5.38787,0.20503,1.2476,0.02788,1,0,0.01851,0.73101
6513631/IGWN-GWTC2p1-v2-GW190708_232457_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,94772,5.34133,5.32009,0.06695,5.17987,5.38813,0.20826,1.2585,0.02733,1,0,0.01964,0.72793
6513631/IGWN-GWTC2p1-v2-GW190719_215514_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,20708,5.36463,5.28481,0.2918,4.64103,5.58604,0.945,5.5215,0.05063,1,0,0.25003,0.55577
6513631/IGWN-GWTC2p1-v2-GW190719_215514_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,153538,5.39785,5.33687,0.25831,4.80751,5.62219,0.81468,4.8402,0.08385,1,0,0.30411,0.56183
6513631/IGWN-GWTC2p1-v2-GW190720_000836_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,86699,5.32902,5.29222,0.1265,5.03736,5.42355,0.38619,2.3903,0.01502,1,0,0.174,0.55441
6513631/IGWN-GWTC2p1-v2-GW190720_000836_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,131644,5.32849,5.29174,0.1271,5.03672,5.42381,0.38708,2.4019,0.01449,1,0,0.17495,0.553
6513631/IGWN-GWTC2p1-v2-GW190725_174728_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,79206,5.22388,5.15379,0.22292,4.69978,5.33532,0.63554,4.3254,0.09012,1,0,-0.03894,0.53317
6513631/IGWN-GWTC2p1-v2-GW190725_174728_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,170198,5.22206,5.15253,0.22348,4.69471,5.33643,0.64172,4.3372,0.09194,1,0,-0.03561,0.52924
6513631/IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,38894,5.38128,5.36563,0.11037,5.17734,5.50217,0.32482,2.0569,0.06728,1,0,0.08388,0.78578
6513631/IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,162922,5.38788,5.37597,0.10183,5.20059,5.51021,0.30963,1.8942,0.07388,1,0,0.09895,0.78823
6513631/IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,11485,5.34308,5.2839,0.17298,4.97246,5.41516,0.4427,3.2738,0.02908,1,0,0.14024,0.60156
6513631/IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,20000,5.34415,5.28273,0.17611,4.96957,5.41546,0.4459,3.3336,0.03015,1,0,0.13951,0.60462
6513631/IGWN-GWTC2p1-v2-GW190731_140936_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,21267,5.3481,5.3216,0.13255,5.06501,5.4866,0.42159,2.4908,0.0341,1,0,0.0525,0.70771
6513631/IGWN-GWTC2p1-v2-GW190731_140936_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,126255,5.36527,5.34368,0.12301,5.11017,5.50079,0.39061,2.302,0.05127,1,0,0.07869,0.72917
6513631/IGWN-GWTC2p1-v2-GW190803_022701_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,20574,5.33121,5.30931,0.11324,5.09816,5.44667,0.34851,2.1328,0.01721,1,0,-0.01465,0.75021
6513631/IGWN-GWTC2p1-v2-GW190803_022701_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,101656,5.34082,5.32265,0.10503,5.12904,5.45594,0.3269,1.9733,0.02682,1,0,0.00276,0.7581
6513631/IGWN-GWTC2p1-v2-GW190805_211137_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,11786,5.49991,5.47204,0.17726,5.15253,5.69467,0.54215,3.2393,0.18591,1,0,0.38683,0.68354
6513631/IGWN-GWTC2p1-v2-GW190805_211137_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,169040,5.52385,5.50482,0.15301,5.23393,5.71167,0.47774,2.7797,0.20985,1,0,0.42437,0.69155
6513631/IGWN-GWTC2p1-v2-GW190814_211039_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,78254,4.18887,4.18911,0.04004,4.13267,4.24346,0.11079,0.9557,1.12513,0,0,0.00372,0.11119
6513631/IGWN-GWTC2p1-v2-GW190814_211039_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,89500,4.18876,4.1889,0.04005,4.13224,4.24308,0.11084,0.956,1.12524,0,0,0.0038,0.11118
6513631/IGWN-GWTC2p1-v2-GW190828_063405_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,42966,5.42344,5.41767,0.06053,5.31089,5.50391,0.19302,1.1172,0.10944,1,0,0.154,0.82344
6513631/IGWN-GWTC2p1-v2-GW190828_063405_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,128000,5.42545,5.41957,0.06034,5.31172,5.50564,0.19392,1.1134,0.11145,1,0,0.16038,0.8197
6513631/IGWN-GWTC2p1-v2-GW190828_065509_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,71723,5.17685,5.16816,0.12794,4.95261,5.35336,0.40075,2.4755,0.13715,1,0,0.05386,0.44136
6513631/IGWN-GWTC2p1-v2-GW190828_065509_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,181548,5.17838,5.16969,0.12783,4.95541,5.35471,0.3993,2.4727,0.13562,1,0,0.05534,0.44192
6513631/IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,54830,5.34674,5.33668,0.06876,5.21062,5.42961,0.219,1.2884,0.03274,1,0,-0.01124,0.78205
6513631/IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,159609,5.35009,5.34037,0.06816,5.21589,5.43309,0.21721,1.2762,0.03609,1,0,-0.00538,0.78684
6513631/IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,50133,5.32849,5.31419,0.08406,5.16293,5.42002,0.25709,1.5818,0.01449,1,0,-0.03877,0.76855
