file,median_n,median_mc,median_q,median_chi,n_samples
IGWN-GWTC2p1-v2-GW190720_000836_PEDataRelease_mixed_nocosmo.h5,5.328492981214436,8.950206496185412,0.5529961061247421,0.17495432692677182,131644
IGWN-GWTC2p1-v2-GW190725_174728_PEDataRelease_mixed_cosmo.h5,5.223878674511665,7.449311661456141,0.5331687813535213,-0.0389445216330843,79206
IGWN-GWTC2p1-v2-GW190725_174728_PEDataRelease_mixed_nocosmo.h5,5.222064753435044,7.383233664758792,0.5292429706408732,-0.03560646129310645,170198
IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_mixed_cosmo.h5,5.381276025526004,29.307956860104618,0.7857839474365826,0.08388061542987382,38894
IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_mixed_nocosmo.h5,5.38788212689434,28.97466880728384,0.788229979200165,0.09894552354365635,162922
IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_mixed_cosmo.h5,5.343075544089015,8.635698248349437,0.6015574360167992,0.14024417392560862,11485
IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_mixed_nocosmo.h5,5.3441484186576975,8.593066815269712,0.6046180050348979,0.13950662175148948,20000
IGWN-GWTC2p1-v2-GW190731_140936_PEDataRelease_mixed_cosmo.h5,5.348102948244423,29.161424728151843,0.7077120486419352,0.052496588276076075,21267
IGWN-GWTC2p1-v2-GW190731_140936_PEDataRelease_mixed_nocosmo.h5,5.365272720483925,28.04900889377278,0.7291655146735078,0.07869315996087611,126255
IGWN-GWTC2p1-v2-GW190803_022701_PEDataRelease_mixed_cosmo.h5,5.331205936030761,27.58684976170342,0.7502050766513275,-0.014653330256684126,20574
IGWN-GWTC2p1-v2-GW190803_022701_PEDataRelease_mixed_nocosmo.h5,5.340817561416172,27.01970039049624,0.7580984525921531,0.002764184986660035,101656
IGWN-GWTC2p1-v2-GW190805_211137_PEDataRelease_mixed_cosmo.h5,5.4999149012881645,31.345041451710287,0.6835380095198231,0.3868285632910197,11786
IGWN-GWTC2p1-v2-GW190805_211137_PEDataRelease_mixed_nocosmo.h5,5.523849320027009,29.667354204767843,0.6915499011798332,0.42436967624996136,169040
IGWN-GWTC2p1-v2-GW190814_211039_PEDataRelease_mixed_cosmo.h5,4.188870577135149,6.1078359143959045,0.11119062677285826,0.003716476633122842,78254
