event_file,catalog,waveform_key,median_n,in_bbh_band,n_posterior_samples,median_chi_eff,e_chi2_posterior,e_chi2_median2,beta_posterior,beta_median2,delta_beta,gb_old_beta,gb_new_beta,spin_cat
6513631/IGWN-GWTC2p1-v2-GW190720_000836_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.32849,1,131644,0.17495,0.042276,0.030609,0.91545,0.93878,-0.02333,0.89855,1.0,mid
6513631/IGWN-GWTC2p1-v2-GW190725_174728_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.22206,1,170198,-0.03561,0.02879,0.001268,0.94242,0.99746,-0.05504,0.87158,1.0,near_zero
6513631/IGWN-GWTC2p1-v2-GW190727_060333_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.38788,1,162922,0.09895,0.031165,0.00979,0.93767,0.98042,-0.04275,0.87633,1.0,low
6513631/IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.34415,1,20000,0.13951,0.043949,0.019462,0.9121,0.96108,-0.04897,0.9019,1.0,mid
6513631/IGWN-GWTC2p1-v2-GW190731_140936_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.36527,1,126255,0.07869,0.028646,0.006193,0.94271,0.98761,-0.04491,0.87129,1.0,low
6513631/IGWN-GWTC2p1-v2-GW190803_022701_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.34082,1,101656,0.00276,0.022124,8e-06,0.95575,0.99998,-0.04423,0.85825,1.0,near_zero
6513631/IGWN-GWTC2p1-v2-GW190805_211137_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.52385,1,169040,0.42437,0.200611,0.18009,0.59878,0.63982,-0.04104,1.21522,1.0,high
6513631/IGWN-GWTC2p1-v2-GW190814_211039_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,4.18876,0,89500,0.0038,0.00269,1.4e-05,0.99462,0.99997,-0.00535,0.81938,1.0,near_zero
6513631/IGWN-GWTC2p1-v2-GW190828_063405_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.42545,1,128000,0.16038,0.033864,0.025722,0.93227,0.94856,-0.01628,0.88173,1.0,mid
6513631/IGWN-GWTC2p1-v2-GW190828_065509_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.17838,1,181548,0.05534,0.013618,0.003062,0.97276,0.99388,-0.02111,0.84124,1.0,low
6513631/IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.35009,1,159609,-0.00538,0.012072,2.9e-05,0.97586,0.99994,-0.02409,0.83814,1.0,near_zero
6513631/IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.33251,1,144305,-0.0297,0.016589,0.000882,0.96682,0.99824,-0.03141,0.84718,1.0,near_zero
6513631/IGWN-GWTC2p1-v2-GW190916_200658_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.40277,1,107199,0.27255,0.109443,0.074282,0.78111,0.85144,-0.07032,1.03289,1.0,mid
6513631/IGWN-GWTC2p1-v2-GW190917_114630_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,4.66025,0,20000,-0.07453,0.053231,0.005554,0.89354,0.98889,-0.09535,0.92046,1.0,low
6513631/IGWN-GWTC2p1-v2-GW190924_021846_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.24254,1,46372,0.04632,0.019593,0.002146,0.96081,0.99571,-0.03489,0.85319,1.0,near_zero
6513631/IGWN-GWTC2p1-v2-GW190925_232845_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.36467,1,164960,0.08292,0.01882,0.006876,0.96236,0.98625,-0.02389,0.85164,1.0,low
6513631/IGWN-GWTC2p1-v2-GW190926_050336_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.26148,1,157760,-0.00762,0.032551,5.8e-05,0.9349,0.99988,-0.06499,0.8791,1.0,near_zero
6513631/IGWN-GWTC2p1-v2-GW190929_012149_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.14432,1,153782,-0.02032,0.024737,0.000413,0.95053,0.99917,-0.04865,0.86347,1.0,near_zero
6513631/IGWN-GWTC2p1-v2-GW190930_133541_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,C01:IMRPhenomXPHM,5.34801,1,137344,0.14869,0.048,0.022108,0.904,0.95578,-0.05179,0.91,1.0,mid
8177023/IGWN-GWTC3p0-v2-GW191103_012549_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.39454,1,167837,0.21747,0.061875,0.047295,0.87625,0.90541,-0.02916,0.93775,1.0,mid
8177023/IGWN-GWTC3p0-v2-GW191105_143521_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.3138,1,142741,-0.01765,0.006971,0.000311,0.98606,0.99938,-0.01332,0.82794,1.0,near_zero
8177023/IGWN-GWTC3p0-v2-GW191109_010717_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.22473,1,270070,-0.29381,0.136135,0.086322,0.72773,0.82736,-0.09963,1.08627,1.0,mid
8177023/IGWN-GWTC3p0-v2-GW191113_071753_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,4.64229,0,129899,0.01005,0.032271,0.000101,0.93546,0.9998,-0.06434,0.87854,1.0,near_zero
8177023/IGWN-GWTC3p0-v2-GW191126_115259_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.40293,1,158918,0.21218,0.054525,0.045019,0.89095,0.90996,-0.01901,0.92305,1.0,mid
8177023/IGWN-GWTC3p0-v2-GW191127_050227_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.30971,1,185048,0.25876,0.104756,0.066959,0.79049,0.86608,-0.07559,1.02351,1.0,mid
8177023/IGWN-GWTC3p0-v2-GW191129_134029_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.30884,1,135743,0.06575,0.013057,0.004323,0.97389,0.99135,-0.01747,0.84011,1.0,low
8177023/IGWN-GWTC3p0-v2-GW191204_110529_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.34086,1,155223,0.04441,0.02794,0.001972,0.94412,0.99606,-0.05194,0.86988,1.0,near_zero
8177023/IGWN-GWTC3p0-v2-GW191204_171526_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.38686,1,206292,0.15941,0.029363,0.025411,0.94127,0.94918,-0.0079,0.87273,1.0,mid
8177023/IGWN-GWTC3p0-v2-GW191215_223052_PEDataRelease_mixed_nocosmo.h5,GWTC-3,C01:IMRPhenomXPHM,5.31361,1,20000,-0.0423,0.015937,0.00179,0.96813,0.99642,-0.0283,0.84587,1.0,near_zero
