event_file,catalog,event_type,waveform_key,median_n,std_n,in_bbh_band,median_chi_eff
8177023/IGWN-GWTC3p0-v2-GW191129_134029_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.30884,0.0916,1,0.06575
8177023/IGWN-GWTC3p0-v2-GW191204_110529_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.34086,0.14486,1,0.04441
8177023/IGWN-GWTC3p0-v2-GW191204_171526_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.38686,0.06349,1,0.15941
8177023/IGWN-GWTC3p0-v2-GW191215_223052_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.31361,0.07863,1,-0.0423
8177023/IGWN-GWTC3p0-v2-GW191216_213338_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.3247,0.14214,1,0.11733
8177023/IGWN-GWTC3p0-v2-GW191219_163120_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM:HighSpin,3.27267,0.06026,0,0.005
8177023/IGWN-GWTC3p0-v2-GW191222_033537_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.3257,0.09348,1,-0.03986
8177023/IGWN-GWTC3p0-v2-GW191230_180458_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.32517,0.11144,1,-0.03895
8177023/IGWN-GWTC3p0-v2-GW200105_162426_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,4.68829,0.13669,0,0.00069
8177023/IGWN-GWTC3p0-v2-GW200112_155838_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.3634,0.06569,1,0.04814
8177023/IGWN-GWTC3p0-v2-GW200115_042309_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM:HighSpin,4.74169,0.21101,0,-0.16874
8177023/IGWN-GWTC3p0-v2-GW200128_022011_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.3861,0.09111,1,0.0915
