event_file,event_type,waveform_key,median_n,std_n,median_redshift,median_lum_dist_Mpc,median_chi_eff,n_samples,in_bbh_band
IGWN-GWTC4p0-0f954158d_720-GW230814_230901-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.35945,0.01846,0.05944,274.211,-0.01034,13460,1
IGWN-GWTC4p0-0f954158d_720-GW230819_171910-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.14527,0.30734,0.63183,3864.789,-0.02915,15680,1
IGWN-GWTC4p0-0f954158d_720-GW230820_212515-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.31583,0.30179,0.61946,3773.086,0.20929,15759,1
IGWN-GWTC4p0-0f954158d_720-GW230824_033047-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.32298,0.13723,0.73161,4621.287,0.00218,13206,1
IGWN-GWTC4p0-0f954158d_720-GW230825_041334-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.46935,0.14311,0.78522,5039.42,0.31738,13826,1
IGWN-GWTC4p0-0f954158d_720-GW230831_015414-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.35369,0.12777,0.72506,4570.701,0.04275,14508,1
IGWN-GWTC4p0-0f954158d_720-GW230904_051013-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.33891,0.08416,0.19966,1007.506,0.05618,15560,1
IGWN-GWTC4p0-0f954158d_720-GW230911_195324-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.25947,0.11833,0.22097,1128.703,-0.029,18595,1
IGWN-GWTC4p0-0f954158d_720-GW230914_111401-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.33799,0.13903,0.45264,2587.608,0.12752,18353,1
IGWN-GWTC4p0-0f954158d_720-GW230919_215712-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.42664,0.04916,0.24614,1274.892,0.18229,15670,1
IGWN-GWTC4p0-0f954158d_720-GW230920_071124-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.34031,0.10097,0.48626,2818.446,-0.00189,15199,1
IGWN-GWTC4p0-0f954158d_720-GW230922_020344-combined_PEDataRelease.hdf5,BBH,C00:IMRPhenomXPHM-SpinTaylor,5.34382,0.0785,0.27604,1452.764,0.03535,19000,1
