event_file,catalog,event_type,waveform_key,median_n,std_n,in_bbh_band,median_chi_eff,n_samples
6513631/IGWN-GWTC2p1-v2-GW190828_063405_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.42545,0.06034,1,0.16038,128000
6513631/IGWN-GWTC2p1-v2-GW190828_065509_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.17685,0.12794,1,0.05386,71723
6513631/IGWN-GWTC2p1-v2-GW190828_065509_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.17838,0.12783,1,0.05534,181548
6513631/IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.34674,0.06876,1,-0.01124,54830
6513631/IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.35009,0.06816,1,-0.00538,159609
6513631/IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.32849,0.08406,1,-0.03877,50133
6513631/IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.33251,0.08149,1,-0.0297,144305
6513631/IGWN-GWTC2p1-v2-GW190916_200658_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.34532,0.26267,1,0.19233,13058
6513631/IGWN-GWTC2p1-v2-GW190916_200658_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.40277,0.22256,1,0.27255,107199
6513631/IGWN-GWTC2p1-v2-GW190917_114630_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,4.66196,0.21511,0,-0.07597,12312
6513631/IGWN-GWTC2p1-v2-GW190917_114630_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,4.66025,0.21288,0,-0.07453,20000
6513631/IGWN-GWTC2p1-v2-GW190924_021846_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.24278,0.1667,1,0.04571,32797
6513631/IGWN-GWTC2p1-v2-GW190924_021846_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.24254,0.16867,1,0.04632,46372
6513631/IGWN-GWTC2p1-v2-GW190925_232845_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.36411,0.09103,1,0.08113,87963
6513631/IGWN-GWTC2p1-v2-GW190925_232845_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.36467,0.09148,1,0.08292,164960
6513631/IGWN-GWTC2p1-v2-GW190926_050336_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.20404,0.22349,1,-0.02025,20327
6513631/IGWN-GWTC2p1-v2-GW190926_050336_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.26148,0.19774,1,-0.00762,157760
6513631/IGWN-GWTC2p1-v2-GW190929_012149_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.09587,0.23823,1,-0.03058,30749
6513631/IGWN-GWTC2p1-v2-GW190929_012149_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.14432,0.2187,1,-0.02032,153782
6513631/IGWN-GWTC2p1-v2-GW190930_133541_PEDataRelease_mixed_cosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.34836,0.17158,1,0.14723,80472
6513631/IGWN-GWTC2p1-v2-GW190930_133541_PEDataRelease_mixed_nocosmo.h5,GWTC-2.1,BBH,C01:IMRPhenomXPHM,5.34801,0.17477,1,0.14869,137344
8177023/IGWN-GWTC3p0-v2-GW191103_012549_PEDataRelease_mixed_cosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.39698,0.12688,1,0.21565,9914
8177023/IGWN-GWTC3p0-v2-GW191103_012549_PEDataRelease_mixed_nocosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.39454,0.13019,1,0.21747,167837
8177023/IGWN-GWTC3p0-v2-GW191105_143521_PEDataRelease_mixed_cosmo.h5,GWTC-3,BBH,C01:IMRPhenomXPHM,5.31464,0.08891,1,-0.01842,65529
