event,catalog,waveform,erad_strategy,per_sample_chi,M_total_Msun,chi_eff_med,chi_eff_std,redshift,lum_dist_Mpc,mass_ratio,n_seraphim,n_sph_std,n_carrier_schwarz,n_carrier_kerr,kerr_delta_n,n_BBH_theory,gap_schwarz,gap_kerr,alpha_inv,delta_schwarz,delta_kerr,log2_M
GW190517_055101,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,62.6577,0.4732,0.1473,0.3513,1919.5894,0.5939,5.552532,0.196532,137.601351,136.971664,-0.629687,5.313987,132.048819,131.419131,137.035999,-4.98718,-5.616868,5.969419
GW190519_153544,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,103.1949,0.3153,0.1328,0.4529,2589.3807,0.6284,5.438564,0.126776,138.32116,137.94265,-0.37851,5.313987,132.882596,132.504086,137.035999,-4.153403,-4.531913,6.689228
GW190519_153544,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,100.1684,0.3366,0.1299,0.5204,3057.0433,0.6287,5.453231,0.124368,138.278215,137.874745,-0.40347,5.313987,132.824984,132.421514,137.035999,-4.211015,-4.614485,6.646283
GW190521_030229,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,153.1475,-0.1398,0.2985,0.556,3310.9194,0.5871,5.206544,0.27314,138.89071,139.052735,0.162024,5.313987,133.684166,133.84619,137.035999,-3.351833,-3.189809,7.258778
GW190521_030229,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,149.1713,0.0015,0.2711,0.7193,4526.6373,0.6499,5.30597,0.219858,138.852758,138.84337,-0.009388,5.313987,133.546788,133.5374,137.035999,-3.489211,-3.498599,7.220826
GW190521_074359,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,77.3377,0.0739,0.0715,0.1798,896.6669,0.7642,5.376191,0.049427,137.905031,137.817112,-0.087919,5.313987,132.52884,132.440921,137.035999,-4.507159,-4.595078,6.273099
GW190521_074359,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,76.6533,0.0726,0.071,0.1914,961.0489,0.7597,5.374768,0.050558,137.892208,137.80892,-0.083288,5.313987,132.51744,132.434152,137.035999,-4.518559,-4.601847,6.260276
GW190527_092055,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,59.5505,0.0831,0.1805,0.4389,2494.8023,0.591,5.312568,0.26509,137.527974,137.442477,-0.085497,5.313987,132.215406,132.129909,137.035999,-4.820593,-4.90609,5.896042
GW190527_092055,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,59.0755,0.1206,0.1856,0.5435,3221.3147,0.6201,5.342713,0.233143,137.51642,137.411011,-0.10541,5.313987,132.173707,132.068297,137.035999,-4.862292,-4.967702,5.884488
GW190602_175927,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,115.6461,0.1159,0.1629,0.4895,2840.8575,0.632,5.340886,0.181177,138.485505,138.3455,-0.140004,5.313987,133.144619,133.004615,137.035999,-3.89138,-4.031384,6.853573
GW190602_175927,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,113.3806,0.1521,0.1594,0.5509,3274.2086,0.6548,5.36729,0.165953,138.456962,138.287165,-0.169797,5.313987,133.089673,132.919876,137.035999,-3.946326,-4.116123,6.82503
GW190620_030421,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,90.6749,0.3065,0.1744,0.513,3004.8162,0.5444,5.405048,0.255465,138.134564,137.77857,-0.355993,5.313987,132.729516,132.373522,137.035999,-4.306484,-4.662477,6.502632
GW190620_030421,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,88.8469,0.3327,0.155,0.5709,3418.1832,0.5781,5.439634,0.214965,138.105181,137.6929,-0.412281,5.313987,132.665546,132.253266,137.035999,-4.370453,-4.782733,6.473249
GW190630_185205,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,59.3298,0.0918,0.0864,0.1683,833.5451,0.722,5.36844,0.081258,137.522616,137.416348,-0.106268,5.313987,132.154176,132.047908,137.035999,-4.881823,-4.988091,5.890684
GW190630_185205,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,58.8757,0.0941,0.0867,0.1818,908.0265,0.707,5.365539,0.08254,137.511533,137.405445,-0.106088,5.313987,132.145994,132.039906,137.035999,-4.890005,-4.996093,5.879601
GW190701_203306,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,93.6781,-0.097,0.1608,0.38,2104.2064,0.7543,5.29592,0.106625,138.181572,138.292993,0.11142,5.313987,132.885653,132.997073,137.035999,-4.150346,-4.038926,6.54964
GW190701_203306,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,93.2884,-0.085,0.1585,0.3972,2217.0081,0.762,5.302204,0.101025,138.175558,138.27125,0.095692,5.313987,132.873354,132.969046,137.035999,-4.162645,-4.066953,6.543627
GW190706_222641,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,112.6867,0.2845,0.1797,0.5847,3518.1436,0.5151,5.367637,0.216754,138.448106,138.114348,-0.333758,5.313987,133.080469,132.746711,137.035999,-3.95553,-4.289288,6.816174
GW190706_222641,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,107.3694,0.322,0.168,0.7055,4420.4068,0.541,5.409494,0.192508,138.378371,137.999762,-0.378609,5.313987,132.968877,132.590267,137.035999,-4.067122,-4.445732,6.746439
GW190707_093326,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,20.0104,-0.0641,0.0607,0.1627,802.9451,0.7253,5.310886,0.060051,135.954607,136.018148,0.063542,5.313987,130.643721,130.707262,137.035999,-6.392278,-6.328737,4.322675
GW190707_093326,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,19.8959,-0.0634,0.0617,0.1698,841.8587,0.7239,5.310628,0.06179,135.946329,136.009277,0.062948,5.313987,130.635702,130.698649,137.035999,-6.400298,-6.33735,4.314397
GW190708_232457,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,30.7827,0.0185,0.0625,0.186,931.0715,0.731,5.341842,0.066382,136.575979,136.555529,-0.02045,5.313987,131.234138,131.213687,137.035999,-5.801862,-5.822312,4.944047
GW190708_232457,GWTC-2.1,C01:IMRPhenomXPHM,M_total-final_mass_source,True,30.6395,0.0196,0.063,0.1917,962.8644,0.7279,5.341296,0.066952,136.569253,136.547098,-0.022154,5.313987,131.227957,131.205803,137.035999,-5.808042,-5.830196,4.937321
