event_file,IMRPhenom_CV,IMRPhenom_Mean,SEOBNR_CV,SEOBNR_Mean,Delta_Mean
IGWN-GWTC3p0-v2-GW200220_124850_PEDataRelease_mixed_cosmo.h5,2.2265487731562197,5.284534148905692,2.5820648948797817,5.263567924395203,0.020966224510488907
IGWN-GWTC3p0-v2-GW200105_162426_PEDataRelease_mixed_nocosmo.h5,2.9145811857617288,4.689951140328185,1.6040316248795796,4.694982183775255,0.005031043447069727
IGWN-GWTC3p0-v2-GW200306_093714_PEDataRelease_mixed_cosmo.h5,5.400359075855487,5.3092684237388985,5.249981298803372,5.298048824485763,0.011219599253135648
IGWN-GWTC3p0-v2-GW191215_223052_PEDataRelease_mixed_cosmo.h5,1.4751855166442236,5.296679584621471,1.3672609777151326,5.302660820145935,0.00598123552446328
IGWN-GWTC3p0-v2-GW200225_060421_PEDataRelease_mixed_cosmo.h5,1.8040108937577133,5.257458329484827,1.8888955134007845,5.2627898485830915,0.005331519098264792
IGWN-GWTC3p0-v2-GW191215_223052_PEDataRelease_mixed_nocosmo.h5,1.4835089590526065,5.300404281802238,1.4006114803227467,5.305298137256096,0.004893855453858009
IGWN-GWTC3p0-v2-GW191129_134029_PEDataRelease_mixed_nocosmo.h5,1.7338599030006743,5.283281165744535,1.5985995718629193,5.31210466885757,0.028823503113034832
IGWN-GWTC3p0-v2-GW200112_155838_PEDataRelease_mixed_cosmo.h5,1.2378936881957308,5.350093196284116,0.9017900405861536,5.389505942298498,0.039412746014381383
IGWN-GWTC3p0-v2-GW200210_092254_PEDataRelease_mixed_cosmo.h5,3.475132118149476,4.2089475542944,2.409125266540996,4.2549196119727775,0.04597205767837753
IGWN-GWTC3p0-v2-GW200311_115853_PEDataRelease_mixed_nocosmo.h5,1.3989121290136557,5.324655643001822,0.988929641098805,5.3490792868661865,0.02442364386436413
IGWN-GWTC3p0-v2-GW191222_033537_PEDataRelease_mixed_cosmo.h5,1.7946564749939962,5.302659323624348,1.6991379416807524,5.3242859658207085,0.021626642196360457
IGWN-GWTC3p0-v2-GW200220_124850_PEDataRelease_mixed_nocosmo.h5,1.9999858702274644,5.301891572066916,2.300757589723726,5.2882782168798,0.013613355187115594
IGWN-GWTC3p0-v2-GW200208_130117_PEDataRelease_mixed_cosmo.h5,2.0426848828303754,5.273816824411766,1.7387544462056967,5.300211475942055,0.02639465153028908
IGWN-GWTC3p0-v2-GW191105_143521_PEDataRelease_mixed_nocosmo.h5,1.7004590002016797,5.28557073839727,1.1580084375602866,5.3107361422655215,0.025165403868251168
IGWN-GWTC3p0-v2-GW191109_010717_PEDataRelease_mixed_nocosmo.h5,2.4891959579809186,5.223756201237544,1.7515746419766696,5.224023855703745,0.00026765446620125033
IGWN-GWTC3p0-v2-GW191216_213338_PEDataRelease_mixed_cosmo.h5,2.6500405664051208,5.288196575048508,1.18604374663625,5.350132289293233,0.06193571424472566
IGWN-GWTC3p0-v2-GW200208_222617_PEDataRelease_mixed_cosmo.h5,8.794597683040307,4.868944287760275,6.75535511522848,5.19451049368473,0.3255662059244546
IGWN-GWTC3p0-v2-GW191126_115259_PEDataRelease_mixed_nocosmo.h5,1.9493484436711954,5.374469450345781,1.937690546446149,5.373166745927504,0.0013027044182765124
IGWN-GWTC3p0-v2-GW191230_180458_PEDataRelease_mixed_cosmo.h5,2.362921262957712,5.293596403198476,2.1320314785069714,5.306413594451329,0.012817191252852744
IGWN-GWTC3p0-v2-GW191113_071753_PEDataRelease_mixed_cosmo.h5,6.282120100587379,4.688907349008902,6.666982588206209,4.788190268320593,0.09928291931169042
IGWN-GWTC3p0-v2-GW200311_115853_PEDataRelease_mixed_cosmo.h5,1.4291532088011392,5.322955369050939,0.9854823249817126,5.347104232612249,0.02414886356131074
IGWN-GWTC3p0-v2-GW200220_061928_PEDataRelease_mixed_nocosmo.h5,3.1219494364887255,5.343052184193132,2.7999305381091104,5.374644388527221,0.03159220433408905
IGWN-GWTC3p0-v2-GW200219_094415_PEDataRelease_mixed_nocosmo.h5,1.8604734531762173,5.288673673384375,1.9053446399641243,5.309416053757431,0.02074238037305598
IGWN-GWTC3p0-v2-GW200129_065458_PEDataRelease_mixed_cosmo.h5,2.0084208378979156,5.347215366401845,0.5685060013949849,5.414118751080235,0.06690338467838952
IGWN-GWTC3p0-v2-GW200302_015811_PEDataRelease_mixed_nocosmo.h5,3.0990883900554502,5.2101132094367495,2.645022879074271,5.287128282397194,0.07701507296044419
IGWN-GWTC3p0-v2-GW191129_134029_PEDataRelease_mixed_cosmo.h5,1.7258684813238394,5.284142011063343,1.5768218927438356,5.3137022560111244,0.0295602449477812
IGWN-GWTC3p0-v2-GW191230_180458_PEDataRelease_mixed_nocosmo.h5,2.099496687212314,5.307905724507021,1.9901195178018873,5.32010463962262,0.012198915115599007
IGWN-GWTC3p0-v2-GW191105_143521_PEDataRelease_mixed_cosmo.h5,1.6816338734482559,5.286891991981338,1.1669655048542278,5.310984135851799,0.02409214387046088
IGWN-GWTC3p0-v2-GW191109_010717_PEDataRelease_mixed_cosmo.h5,2.5867421588263353,5.220064630319657,1.810846680141654,5.215312213029891,0.004752417289766164
IGWN-GWTC3p0-v2-GW200209_085452_PEDataRelease_mixed_cosmo.h5,1.9253088446804556,5.279297581154141,1.9205992162444632,5.285504978136753,0.006207396982611968
IGWN-GWTC3p0-v2-GW191127_050227_PEDataRelease_mixed_nocosmo.h5,7.134912282961091,5.194576454682027,4.322881734265962,5.33229071735586,0.1377142626738328
IGWN-GWTC3p0-v2-GW200202_154313_PEDataRelease_mixed_cosmo.h5,1.635081514488554,5.316499877209999,1.0446821589102535,5.336462571708691,0.019962694498691924
IGWN-GWTC3p0-v2-GW200202_154313_PEDataRelease_mixed_nocosmo.h5,1.6419562667776801,5.316129545029647,1.0566349875484962,5.335768625782849,0.019639080753202087
IGWN-GWTC3p0-v2-GW191126_115259_PEDataRelease_mixed_cosmo.h5,1.8926235109806324,5.375903624680537,1.9005057491863997,5.3751165509968235,0.0007870736837132242
IGWN-GWTC3p0-v2-GW191127_050227_PEDataRelease_mixed_cosmo.h5,9.324085325022741,5.0040840875000745,5.286409938181703,5.258708195388299,0.2546241078882243
IGWN-GWTC3p0-v2-GW200128_022011_PEDataRelease_mixed_cosmo.h5,1.7715555210152698,5.370206259139846,1.591964702234649,5.416882326517453,0.04667606737760721
IGWN-GWTC3p0-v2-GW200224_222234_PEDataRelease_mixed_nocosmo.h5,1.3568293275713008,5.387282387796274,1.0564143197832185,5.39824261101732,0.01096022322104595
