event_file,IMRPhenom_CV,IMRPhenom_Mean,SEOBNR_CV,SEOBNR_Mean,Delta_Mean
IGWN-GWTC2p1-v2-GW170809_082821_PEDataRelease_mixed_cosmo.h5,1.6457961286287248,5.345900387158039,1.441820644082579,5.347188003390117,0.0012876162320774043
IGWN-GWTC2p1-v2-GW170608_020116_PEDataRelease_mixed_cosmo.h5,1.656782644762108,5.319160885710856,1.052274530534902,5.34417319166346,0.025012305952603953
IGWN-GWTC2p1-v2-GW190915_235702_PEDataRelease_mixed_nocosmo.h5,1.531877928359016,5.3194081039512,1.6988725787909456,5.3171141888912565,0.0022939150599432523
IGWN-GWTC2p1-v2-GW190930_133541_PEDataRelease_mixed_cosmo.h5,3.244451147521468,5.288393714060437,2.083522583926238,5.21517713431018,0.07321657975025708
IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_cosmo.h5,3.991377745136218,5.230997380918721,3.2710116546785706,5.2834829102217835,0.052485529303062606
IGWN-GWTC2p1-v2-GW170814_103043_PEDataRelease_mixed_nocosmo.h5,0.8583095004338367,5.375257317897783,0.8482081173757644,5.395426111225974,0.02016879332819066
IGWN-GWTC2p1-v2-GW190805_211137_PEDataRelease_mixed_cosmo.h5,3.2392981739278306,5.472041393911652,2.8497155786694974,5.457924916162475,0.014116477749176681
IGWN-GWTC2p1-v2-GW190527_092055_PEDataRelease_mixed_cosmo.h5,5.066286509198441,5.2324401309056645,2.3672381923752974,5.330052557939261,0.09761242703359674
IGWN-GWTC2p1-v2-GW170729_185629_PEDataRelease_mixed_cosmo.h5,3.72988370377595,5.35190413866209,3.291365580039173,5.39343149073944,0.04152735207734981
IGWN-GWTC2p1-v2-GW151012_095443_PEDataRelease_mixed_nocosmo.h5,3.8868712293992496,5.244356151804346,3.2463563124997727,5.296857579250739,0.0525014274463933
IGWN-GWTC2p1-v2-GW190521_074359_PEDataRelease_mixed_nocosmo.h5,0.9416672878695468,5.368997729530723,1.096099000065453,5.391723037481761,0.022725307951037443
IGWN-GWTC2p1-v2-GW150914_095045_PEDataRelease_mixed_cosmo.h5,0.8651472416640252,5.332814941472193,0.6078820191355101,5.357526703490222,0.02471176201802905
IGWN-GWTC2p1-v2-GW190930_133541_PEDataRelease_mixed_nocosmo.h5,3.306177879470598,5.286097338180433,2.1082190368548295,5.213419623393696,0.07267771478673701
IGWN-GWTC2p1-v2-GW170814_103043_PEDataRelease_mixed_cosmo.h5,0.8633018310727048,5.37463722816624,0.8547611440604922,5.394466258932503,0.019829030766263855
IGWN-GWTC2p1-v2-GW190925_232845_PEDataRelease_mixed_nocosmo.h5,1.71116908657424,5.346207549849859,1.2404419102877702,5.364709636532075,0.018502086682216756
IGWN-GWTC2p1-v2-GW190630_185205_PEDataRelease_mixed_cosmo.h5,1.5183884450223795,5.351603516071657,1.2981291148606566,5.3506055507253345,0.0009979653463227933
IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_mixed_nocosmo.h5,3.3336137006389044,5.2827329766254545,1.551620578355337,5.341186660539653,0.05845368391419825
IGWN-GWTC2p1-v2-GW190728_064510_PEDataRelease_mixed_cosmo.h5,3.2737823611858166,5.28390460853867,1.5396784062752233,5.3415187183086985,0.057614109770028676
IGWN-GWTC2p1-v2-GW190527_092055_PEDataRelease_mixed_nocosmo.h5,4.414598675267519,5.281186439057272,2.224399278393511,5.342553591316116,0.06136715225884348
IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_nocosmo.h5,3.0809391967851303,5.267728867921378,2.690837459968096,5.3472497474285285,0.07952087950715025
IGWN-GWTC2p1-v2-GW190910_112807_PEDataRelease_mixed_nocosmo.h5,1.2762385332015118,5.340371279084868,1.1916742755162901,5.354095122579587,0.013723843494719112
