catalog,cut_level,cut_desc,event,median_n,std_n,is_nsbh,erad_field
GWTC-2.1,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),GW190527_092055,5.3427,0.2331,no,radiated_energy
GWTC-2.1,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),GW190620_030421,5.4050,0.2555,no,radiated_energy
GWTC-2.1,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),GW190620_030421,5.4396,0.2150,no,radiated_energy
GWTC-2.1,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),GW190706_222641,5.3676,0.2168,no,radiated_energy
GWTC-2.1,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),GW190719_215514,5.3646,0.2918,no,radiated_energy
GWTC-2.1,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),GW190719_215514,5.3978,0.2583,no,radiated_energy
GWTC-2.1,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),GW190725_174728,5.2238,0.2229,no,radiated_energy
GWTC-2.1,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),GW190725_174728,5.2220,0.2235,no,radiated_energy
GWTC-2.1,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),GW190916_200658,5.3453,0.2627,no,radiated_energy
GWTC-2.1,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),GW190916_200658,5.4027,0.2226,no,radiated_energy
GWTC-2.1,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),GW190917_114630,4.6619,0.2151,no,radiated_energy
GWTC-2.1,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),GW190917_114630,4.6602,0.2129,no,radiated_energy
GWTC-2.1,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),GW190926_050336,5.2040,0.2235,no,radiated_energy
GWTC-2.1,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),GW190929_012149,5.0958,0.2382,no,radiated_energy
GWTC-2.1,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),GW190929_012149,5.1443,0.2187,no,radiated_energy
GWTC-4,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),GW230702_185453,5.1385,0.2213,no,radiated_energy_non_evolved
GWTC-4,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),GW230704_212616,5.3829,0.2562,no,radiated_energy_non_evolved
GWTC-4,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),GW230712_090405,5.0885,0.2799,no,radiated_energy_non_evolved
GWTC-4,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),GW230819_171910,5.1452,0.3073,no,radiated_energy_non_evolved
GWTC-4,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),GW230820_212515,5.3158,0.3018,no,radiated_energy_non_evolved
GWTC-4,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),GW230922_040658,5.4459,0.2274,no,radiated_energy_non_evolved
GWTC-4,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),GW231118_090602,5.2590,0.2661,no,radiated_energy_non_evolved
GWTC-4,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),GW231221_135041,5.2988,0.2008,no,radiated_energy_non_evolved
GWTC-4,7,Remove NR_FIT + std_n > 0.20 + NSBH (strictest),GW240107_013215,5.3701,0.2823,no,radiated_energy_non_evolved
