catalog,cut_level,cut_desc,event,median_n,std_n,is_nsbh,erad_field
GWTC-2.1,4,Remove std_n > 0.15,GW190527_092055,5.3427,0.2331,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190602_175927,5.3409,0.1812,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190602_175927,5.3673,0.1660,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190620_030421,5.4050,0.2555,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190620_030421,5.4396,0.2150,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190706_222641,5.3676,0.2168,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190706_222641,5.4095,0.1925,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190719_215514,5.3646,0.2918,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190719_215514,5.3978,0.2583,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190725_174728,5.2238,0.2229,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190725_174728,5.2220,0.2235,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190728_064510,5.3430,0.1730,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190728_064510,5.3441,0.1761,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190805_211137,5.4999,0.1773,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190805_211137,5.5238,0.1530,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190916_200658,5.3453,0.2627,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190916_200658,5.4027,0.2226,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190917_114630,4.6619,0.2151,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190917_114630,4.6602,0.2129,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190924_021846,5.2427,0.1667,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190924_021846,5.2425,0.1687,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190926_050336,5.2040,0.2235,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190926_050336,5.2614,0.1977,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190929_012149,5.0958,0.2382,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190929_012149,5.1443,0.2187,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190930_133541,5.3483,0.1716,no,radiated_energy
GWTC-2.1,4,Remove std_n > 0.15,GW190930_133541,5.3479,0.1748,no,radiated_energy
GWTC-4,4,Remove std_n > 0.15,GW230608_205047,5.3233,0.1503,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW230630_125806,5.3933,0.1869,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW230702_185453,5.1385,0.2213,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW230704_212616,5.3829,0.2562,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW230708_230935,5.2914,0.1692,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW230709_122727,5.3542,0.1686,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW230712_090405,5.0885,0.2799,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW230803_033412,5.3341,0.1501,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW230805_034249,5.3334,0.1548,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW230819_171910,5.1452,0.3073,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW230820_212515,5.3158,0.3018,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW230922_040658,5.4459,0.2274,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW230928_215827,5.5008,0.1642,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW231001_140220,5.2100,0.1844,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW231004_232346,5.2013,0.1892,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW231005_021030,5.3182,0.1878,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW231008_142521,5.2548,0.1846,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW231020_142947,5.3451,0.1554,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW231029_111508,5.3566,0.1612,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW231113_122623,5.4920,0.1618,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW231114_043211,5.0704,0.1501,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW231118_090602,5.2590,0.2661,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW231119_075248,5.3270,0.1512,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW231127_165300,5.3062,0.1900,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW231129_081745,5.2629,0.1604,no,radiated_energy_non_evolved
GWTC-4,4,Remove std_n > 0.15,GW231221_135041,5.2988,0.2008,no,radiated_energy_non_evolved
