event_file,median_n,std_n,median_q,median_chi_eff,valid_samples
IGWN-GWTC3p0-v2-GW191103_012549_PEDataRelease_mixed_cosmo.h5,5.396975505487285,0.12687587782681045,0.6516071693772614,0.21565158234512988,9914
IGWN-GWTC3p0-v2-GW200316_215756_PEDataRelease_mixed_cosmo.h5,5.291630328353611,0.17553249823303202,0.5194835406681544,0.15072604993932773,67196
IGWN-GWTC3p0-v2-GW191204_110529_PEDataRelease_mixed_nocosmo.h5,5.340861237897046,0.14485996445610422,0.7201649955772278,0.04440796884021767,155223
IGWN-GWTC3p0-v2-GW200216_220804_PEDataRelease_mixed_cosmo.h5,5.299991236594073,0.2801451868767197,0.5871389693900749,0.08052192174371386,17943
IGWN-GWTC3p0-v2-GW200208_222617_PEDataRelease_mixed_nocosmo.h5,5.045586337575806,0.3924393677526083,0.15946177988632942,0.6669159615476822,209178
IGWN-GWTC3p0-v2-GW200219_094415_PEDataRelease_mixed_cosmo.h5,5.297213143557146,0.10674753682639898,0.7591625748901454,-0.09682052121331337,28386
IGWN-GWTC3p0-v2-GW200209_085452_PEDataRelease_mixed_nocosmo.h5,5.303774798126487,0.0932506408042621,0.7898283277204813,-0.10655300326836899,161419
IGWN-GWTC3p0-v2-GW200220_124850_PEDataRelease_mixed_cosmo.h5,5.302650518810682,0.11766273025948117,0.7449429956105045,-0.07408929389708764,13497
IGWN-GWTC3p0-v2-GW200105_162426_PEDataRelease_mixed_nocosmo.h5,4.688288657545664,0.13669243355742294,0.21062724820573497,0.0006933427707167873,20000
IGWN-GWTC3p0-v2-GW200306_093714_PEDataRelease_mixed_cosmo.h5,5.376453941066036,0.2867195591829132,0.5370926588435574,0.3102322177409391,29333
IGWN-GWTC3p0-v2-GW191215_223052_PEDataRelease_mixed_cosmo.h5,5.309716872554088,0.07813585009538737,0.7447095400142016,-0.05358687427176396,6913
IGWN-GWTC3p0-v2-GW200225_060421_PEDataRelease_mixed_cosmo.h5,5.280451708348442,0.09484512099867856,0.7280540488212618,-0.1380770877323915,88167
IGWN-GWTC3p0-v2-GW191215_223052_PEDataRelease_mixed_nocosmo.h5,5.313608357576691,0.07863197238654417,0.7397869065978192,-0.04230340114581273,20000
IGWN-GWTC3p0-v2-GW191129_134029_PEDataRelease_mixed_nocosmo.h5,5.3088414519598155,0.0916046936956311,0.5961981771575103,0.06575308599405331,135743
IGWN-GWTC3p0-v2-GW200112_155838_PEDataRelease_mixed_cosmo.h5,5.361232169115784,0.0662284659893903,0.7577277662525101,0.044004419739105065,68706
IGWN-GWTC3p0-v2-GW200210_092254_PEDataRelease_mixed_cosmo.h5,4.223926261025868,0.14626648829535155,0.11400809087917764,0.03461465619737308,78491
IGWN-GWTC3p0-v2-GW200311_115853_PEDataRelease_mixed_nocosmo.h5,5.33904821446195,0.07448725361816255,0.7965042011431062,-0.03254148310191629,202628
